坤卦靜態 坤卦靜態: kʰ 629%, ŋ 162%, ʊ 150%, ʂ 113%, ɻ 100%, m 96%, œ 57%, pʰ 39%, y 21%, e 16%
坤卦靜態 坤卦動態: m 331%, l 221%, u 188%, œ 167%, ŋ 159%, e 119%, ɨ 112%, ɪ 92%, t͡sʰ 58%, ɔ 52%
坤卦靜態 艮卦靜態: e 202%, s 187%, kʰ 176%, ɪ 173%, œ 157%, ɑ 138%, u 137%, k 107%, l 82%, ʂ 69%
坤卦靜態 艮卦動態: œ 374%, ɪ 324%, e 302%, ɕ 284%, x 245%, p 199%, tʰ 189%, u 173%, y 144%, ʂ 100%
坤卦靜態 坎卦靜態: k 551%, ŋ 208%, œ 194%, y 185%, ʊ 158%, m 110%, l 105%, ɑ 21%, t͡s 10%, kʰ 6%
坤卦靜態 坎卦動態: l 322%, t͡sʰ 186%, u 145%, s 129%, ŋ 94%, p 81%, ʈ͡ʂʰ 79%, ɯ 75%, ʌ 75%, t͡ɕʰ 49%
坤卦靜態 巽卦靜態: ɯ 218%, ʌ 218%, kʰ 207%, t 126%, ŋ 46%, t͡s 46%, u 42%, t͡ɕʰ 41%, p 36%, m 34%
坤卦靜態 巽卦動態: t͡sʰ 420%, e 191%, ɑ 178%, m 163%, t͡s 151%, ɪ 145%, ʂ 145%, u 142%, kʰ 138%, ʈ͡ʂʰ 99%
坤卦靜態 中卦靜態: ɯ 171%, ʌ 171%, t 146%, e 127%, m 115%, l 78%, u 39%, ŋ 37%, ɪ 36%, kʰ 29%
坤卦靜態 中卦動態: ɻ 173%, ʂ 137%, ʈ͡ʂʰ 127%, ŋ 122%, ɯ 99%, ʌ 99%, kʰ 92%, l 84%, t͡sʰ 59%, ʊ 58%
坤卦靜態 震卦靜態: e 353%, ɪ 219%, tʰ 165%, kʰ 143%, ɨ 87%, l 81%, ʂ 69%, ɯ 61%, ʌ 61%, ʈ͡ʂʰ 60%
坤卦靜態 震卦動態: ɪ 414%, a 379%, x 187%, ɤ 128%, l 119%, t͡sʰ 118%, ʊ 95%, ɑ 69%, t 62%, tʰ 51%
坤卦靜態 離卦靜態: e 406%, ɪ 293%, ɨ 123%, t͡sʰ 103%, u 93%, pʰ 87%, p 63%, ɻ 49%, ʈ͡ʂʰ 30%, m 30%
坤卦靜態 離卦動態: ʈ͡ʂʰ 553%, ʊ 310%, ŋ 253%, ɛ 81%, kʰ 70%, l 64%, m 54%, ɪ 37%, t͡ɕʰ 21%, i 20%
