坤卦靜態 坤卦靜態: i 359%, j 242%, l 219%, ʒ 205%, ʊ 168%, ɑ 153%, s 133%, ɜ 128%, ʌ 123%, k 116%
坤卦靜態 坤卦動態: ʌ 450%, ʊ 286%, ɜ 211%, d 196%, n 146%, l 141%, b 108%, w 108%, h 105%, t͡ʃ 96%
坤卦靜態 艮卦靜態: ɑ 243%, ʌ 167%, ɡ 156%, w 144%, k 138%, b 136%, h 133%, v 99%, z 88%, u 86%
坤卦靜態 艮卦動態: k 263%, w 203%, ʃ 142%, e 139%, ɒ 135%, h 128%, d 122%, ʌ 116%, a 112%, b 110%
坤卦靜態 坎卦靜態: m 242%, ɑ 233%, u 217%, h 212%, ʊ 203%, b 139%, k 119%, ɔ 95%, e 80%, ɒ 80%
坤卦靜態 坎卦動態: ʌ 182%, w 132%, z 130%, ɑ 129%, k 116%, l 95%, ɡ 90%, f 69%, t͡ʃ 46%, h 19%
坤卦靜態 巽卦靜態: i 237%, l 172%, ʌ 167%, u 155%, ɡ 152%, ʃ 126%, ʊ 113%, d 105%, ɑ 58%, p 58%
坤卦靜態 巽卦動態: ʌ 216%, l 152%, ɑ 126%, p 99%, d͡ʒ 92%, k 91%, s 84%, b 77%, z 72%, u 59%
坤卦靜態 中卦靜態: ʌ 440%, l 399%, i 363%, d 297%, ɑ 225%, f 191%, b 180%, ʒ 110%, m 103%, ɹ 67%
坤卦靜態 中卦動態: l 233%, i 202%, ə 155%, f 109%, m 73%, ɛ 68%, a 67%, w 65%, u 58%, d͡ʒ 52%
坤卦靜態 震卦靜態: b 327%, ʊ 237%, ɒ 164%, p 161%, k 140%, w 127%, ɑ 114%, ʌ 112%, t 88%, a 82%
坤卦靜態 震卦動態: ʊ 315%, w 276%, h 214%, s 169%, b 162%, e 128%, ʌ 126%, z 102%, ɑ̃ 100%, ɑ 91%
坤卦靜態 離卦靜態: z 234%, ɑ 184%, a 126%, ʊ 121%, h 117%, ɡ 96%, w 86%, d 68%, l 64%, t͡ʃ 58%
坤卦靜態 離卦動態: p 309%, ɑ 227%, f 225%, k 212%, h 179%, a 155%, ʊ 148%, i 127%, j 125%, l 113%
坤卦靜態 兌卦靜態: ʌ 246%, k 245%, t͡ʃ 206%, b 122%, l 99%, ʊ 71%, j 70%, s 58%, ɡ 54%, f 38%
