坤卦靜態 坤卦靜態: j 419%, kʰ 282%, ʈ͡ʂʰ 216%, ʂ 172%, e 161%, p 149%, n 100%, ɑ 91%, x 63%, a 62%
坤卦靜態 坤卦動態: e 271%, p 219%, l 182%, t 162%, ɨ 158%, ɪ 147%, ɯ 129%, ʌ 129%, u 113%, œ 105%
坤卦靜態 艮卦靜態: p 206%, m 108%, ɑ 101%, e 88%, l 68%, t͡ɕ 67%, s 55%, tʰ 53%, ŋ 53%, ʈ͡ʂʰ 49%
坤卦靜態 艮卦動態: ɔ 192%, k 192%, ʈ͡ʂʰ 184%, pʰ 181%, u 137%, ɕ 127%, œ 111%, ɤ 104%, ʊ 81%, ɪ 78%
坤卦靜態 坎卦靜態: ŋ 268%, y 173%, ɑ 148%, k 142%, ʊ 139%, t͡ɕ 137%, ɤ 130%, ʂ 127%, l 122%, ʈ͡ʂʰ 104%
坤卦靜態 坎卦動態: m 343%, t͡sʰ 198%, ɑ 145%, l 126%, a 120%, ɨ 83%, s 76%, ɪ 51%, t͡s 43%, tʰ 41%
坤卦靜態 巽卦靜態: p 239%, ɯ 144%, ʌ 144%, ɑ 139%, t 104%, e 72%, t͡s 67%, a 59%, t͡sʰ 49%, m 44%
坤卦靜態 巽卦動態: t͡sʰ 153%, ɪ 147%, tʰ 139%, ʊ 135%, e 134%, k 122%, kʰ 105%, ʈ͡ʂʰ 91%, l 86%, ɑ 81%
坤卦靜態 中卦靜態: t 353%, ɯ 306%, ʌ 306%, e 272%, ɪ 245%, m 235%, a 185%, k 145%, f 70%, t͡ɕʰ 51%
坤卦靜態 中卦動態: t 248%, ɯ 246%, ʌ 246%, ŋ 167%, kʰ 132%, k 94%, j 56%, ʂ 54%, ɻ 50%, a 45%
坤卦靜態 震卦靜態: tʰ 260%, pʰ 213%, m 188%, p 172%, ɑ 165%, ʊ 161%, e 158%, ɨ 157%, ɪ 116%, ɤ 109%
坤卦靜態 震卦動態: p 346%, ɔ 244%, x 149%, a 136%, ɻ 124%, ʂ 53%, tʰ 50%, ʈ͡ʂʰ 49%, m 42%, t͡sʰ 37%
坤卦靜態 離卦靜態: m 151%, k 135%, ɑ 132%, l 114%, pʰ 88%, tʰ 86%, t 84%, t͡sʰ 78%, ʊ 52%, ŋ 50%
坤卦靜態 離卦動態: kʰ 454%, ɛ 428%, p 356%, i 261%, t͡ɕʰ 211%, ɕ 160%, t͡s 155%, ɔ 141%, ɯ 131%, ʌ 131%
坤卦靜態 兌卦靜態: ʊ 198%, ɑ 192%, tʰ 173%, kʰ 157%, x 116%, ɤ 99%, p 97%, j 84%, m 60%, ɪ 58%
坤卦靜態 兌卦動態: t͡s 250%, t͡ɕʰ 228%, œ 205%, kʰ 148%, a 123%, f 70%, ɯ 64%, ʌ 64%, x 61%, p 53%
坤卦靜態 乾卦靜態: f 224%, pʰ 150%, t 133%, ɑ 122%, ʈ͡ʂʰ 117%, l 85%, t͡sʰ 62%, ɔ 52%, ɯ 51%, ʌ 51%
坤卦靜態 乾卦動態: t 207%, ɯ 189%, ʌ 189%, m 175%, kʰ 175%, ɑ 83%, ɪ 67%, e 66%, ɻ 63%, i 62%
坤卦動態 坤卦動態: ɔ 307%, ɨ 252%, s 198%, u 180%, ʂ 169%, t͡sʰ 156%, p 131%, ɤ 110%, ʊ 97%, x 87%
坤卦動態 艮卦靜態: ŋ 158%, t͡ɕʰ 148%, l 117%, y 116%, ə 105%, t͡ɕ 103%, ɨ 91%, ʂ 80%, s 59%, f 34%
坤卦動態 艮卦動態: x 154%, e 94%, j 91%, f 76%, u 70%, ɔ 59%, ʈ͡ʂʰ 56%, tʰ 54%, m 51%, s 49%
坤卦動態 坎卦靜態: t͡ɕ 253%, n 160%, ɔ 128%, y 114%, u 103%, tʰ 100%, ɤ 93%, ʂ 78%, ʈ͡ʂʰ 56%, ʈ͡ʂ 28%
坤卦動態 坎卦動態: ŋ 223%, ɨ 145%, ʊ 89%, t͡s 84%, l 81%, k 64%, ə 52%, ɔ 28%, ʂ 24%, ʈ͡ʂʰ 24%
坤卦動態 巽卦靜態: ɪ 138%, ɯ 122%, ʌ 122%, t 113%, m 87%, ɨ 87%, e 86%, t͡s 77%, a 71%, u 58%
坤卦動態 巽卦動態: t͡sʰ 235%, ʊ 147%, pʰ 139%, ɪ 137%, tʰ 124%, e 123%, p 69%, i 65%, ɛ 60%, m 54%
坤卦動態 中卦靜態: n 160%, t 150%, u 140%, m 134%, ə 133%, a 129%, j 95%, ɯ 92%, ʌ 92%, ɨ 84%
坤卦動態 中卦動態: ɯ 239%, ʌ 239%, kʰ 232%, t 213%, ɻ 89%, ʂ 80%, ɛ 28%, t͡sʰ 28%, tʰ 21%, ɨ 13%
坤卦動態 震卦靜態: tʰ 188%, ɑ 142%, ə 124%, pʰ 95%, ŋ 78%, t͡ɕ 73%, m 64%, a 51%, i 40%, l 36%
坤卦動態 震卦動態: ʊ 141%, œ 104%, ɪ 100%, a 92%, t͡ɕʰ 70%, ɤ 52%, ɕ 51%, ɻ 50%, t 40%, tʰ 39%
坤卦動態 離卦靜態: m 286%, s 150%, ŋ 127%, n 123%, k 119%, x 111%, y 90%, pʰ 54%, œ 37%, a 37%
坤卦動態 離卦動態: tʰ 268%, ɑ 191%, x 164%, ʊ 144%, p 130%, ŋ 123%, j 112%, ɨ 87%, ʂ 82%, ɕ 62%
坤卦動態 兌卦靜態: ɔ 115%, m 106%, œ 102%, ɤ 67%, t͡ɕʰ 63%, u 57%, ʂ 45%, t 38%, ɨ 34%, ʊ 32%
坤卦動態 兌卦動態: m 163%, ɑ 145%, tʰ 145%, ə 107%, ʂ 76%, p 48%, n 46%, ɨ 42%, t͡ɕʰ 29%, f 29%
坤卦動態 乾卦靜態: ʂ 176%, p 162%, u 142%, l 129%, t͡ɕʰ 103%, s 91%, n 68%, e 67%, ɪ 60%, f 55%
坤卦動態 乾卦動態: ŋ 180%, ɯ 140%, ʌ 140%, s 134%, ɨ 114%, t 113%, ɕ 88%, m 79%, f 78%, ə 77%
艮卦靜態 艮卦靜態: ɛ 326%, n 201%, m 171%, ɕ 168%, t͡sʰ 141%, ʊ 85%, ɔ 80%, p 41%, f 38%, k 34%
艮卦靜態 艮卦動態: y 203%, f 198%, e 158%, œ 150%, ɪ 140%, ʊ 118%, ɤ 117%, t͡ɕ 97%, ʂ 96%, u 80%
艮卦靜態 坎卦靜態: f 210%, ɛ 185%, y 136%, ɤ 118%, ʊ 106%, e 97%, ŋ 91%, n 84%, ɑ 68%, k 66%
艮卦靜態 坎卦動態: pʰ 186%, p 175%, ɑ 146%, t͡s 127%, u 108%, l 105%, k 104%, ɨ 100%, a 81%, t͡ɕʰ 77%
艮卦靜態 巽卦靜態: ɑ 171%, p 108%, t͡ɕʰ 103%, tʰ 98%, f 95%, ʈ͡ʂʰ 88%, pʰ 74%, ʊ 70%, ɔ 69%, ə 64%
艮卦靜態 巽卦動態: ɪ 333%, e 227%, a 177%, f 174%, pʰ 170%, k 167%, t͡sʰ 145%, ɔ 111%, ɤ 78%, u 73%
艮卦靜態 中卦靜態: f 183%, ɯ 123%, ʌ 123%, i 115%, k 112%, l 103%, ɛ 103%, ɕ 102%, kʰ 100%, ɻ 86%
