แล้ว	lɛ́ːw
ถึง	tʰɯ̌ŋ
ของ	kʰɔ̌ːŋ
หนึ่ง	nɯ̀ŋ
ใน	naj
เป็น	pen
เพื่อ	pʰɯ̂ːa
นั่น	nân
บน	bon
กับ	kàp
มัน	man
เธอ	tʰɤː
เคยเป็น	kʰɤːj pen
เช่น	tɕʰên
คือ	kʰɯː
ที่	tʰîː
เป็น	pen
โดย	doːj
ดิส	dìt
มี	miː
จาก	tɕàːk
หรือ	rɯ̌ː
ไม่ใช่	mâj tɕʰâj
ของคุณ	kʰɔ̌ːŋ kʰun
หนึ่ง	nɯ̀ŋ
แต่	tɛ̀ː
สา	sǎː
จะ	tɕàʔ
ของฉัน	kʰɔ̌ːŋ tɕʰǎn
ทรง	soŋ
ทุก	tʰúk
เรา	raw
พวกเขา	pʰûːak kʰǎw
เขา	kʰǎw
ของเขา	kʰɔ̌ːŋ kʰǎw
มากกว่า	mâːk kwàː
หนึ่ง	nɯ̀ŋ
ประมาณ	pràʔ maːn
ของพวกเขา	kʰɔ̌ːŋ pʰûːak kʰǎw
ดังนั้น	daŋ nán
ซึ่ง	sɯ̂ŋ
ออก	ʔɔ̀ːk
ขึ้น	kʰɯ̂n
คือ	kʰɯː
มี	miː
ใคร	kʰraj
อย่าง	jàːŋ
ของเรา	kʰɔ̌ːŋ raw
จะ	tɕàʔ
เวลา	weː laː
ถูก	tʰùːk
ถ้า	tʰâː
ยัง	jaŋ
แค่	kʰɛ̂ː
ตอน	tɔːn
ของเธอ	kʰɔ̌ːŋ tʰɤː
ฉัน	tɕʰǎn
มี	miː
ทำ	tʰam
อะไร	ʔàʔ raj
บ้าง	bâːŋ
อื่นๆ	ʔɯ̀ːn ʔɯ̀ːn
พวกเขา	pʰûːak kʰǎw
รับ	ráp
ใหม่	màj
เข้าไปข้างใน	kʰâw paj kʰâːŋ naj
กว่า	kwàː
เลขที่	lêːk tʰîː
เฉพาะ	tɕʰà pʰɔ́ʔ
แรก	rɛ̂ːk
ใดๆ	daj daj
มัน	man
คน	kʰon
มาก	mâːk
เหนือ	nɯ̌ːa
นาง	naːŋ
