坤卦靜態 坤卦靜態: ɗ 286%, f 161%, e 155%, ɔ 111%, ɲ 86%, ə 58%, y 54%, i 52%, ɛ 48%, u 47%
坤卦靜態 坤卦動態: t 259%, ɜ 235%, o 125%, x 124%, e 117%, ŋ 116%, ʌ 107%, y 84%, t͡ʃ 58%, u 56%
坤卦靜態 艮卦靜態: ɗ 341%, t̪ 283%, k 139%, ɜ 128%, a 125%, j 114%, o 96%, ɔ 87%, f 81%, ŋ 56%
坤卦靜態 艮卦動態: l 461%, e 409%, ɲ 133%, p 77%, u 74%, ɜ 65%, i 58%, ɗ 45%, b 30%, z 29%
坤卦靜態 坎卦靜態: e 396%, ɲ 341%, ɡ 313%, ɔ 253%, s 217%, ɜ 150%, t͡ʃ 147%, ŋ 126%, f 114%, t 108%
坤卦靜態 坎卦動態: ɪ 145%, o 141%, x 135%, ɣ 133%, ɲ 92%, u 88%, i 71%, t 66%, ɛ 62%, ɜ 44%
坤卦靜態 巽卦靜態: ɗ 175%, ŋ 159%, l 121%, t͡ʃ 115%, m 93%, ɔ 93%, x 91%, a 82%, ɲ 58%, ə 58%
坤卦靜態 巽卦動態: ɪ 283%, f 267%, o 202%, l 165%, b 161%, ɜ 79%, j 56%, y 51%, v 32%, ɑ 27%
坤卦靜態 中卦靜態: x 379%, o 357%, ŋ 202%, θ 147%, ɗ 128%, ɣ 108%, f 63%, l 61%, y 51%, ə 51%
坤卦靜態 中卦動態: t̪ 207%, l 172%, ɛ 124%, i 103%, u 95%, θ 92%, j 83%, ɗ 83%, f 63%, ɪ 31%
坤卦靜態 震卦靜態: b 284%, ɗ 283%, y 243%, z 221%, ŋ 195%, u 174%, o 130%, x 69%, ɔ 10%, s 3%
坤卦靜態 震卦動態: ɗ 302%, ə 211%, s 152%, y 145%, ɪ 126%, b 122%, i 89%, m 67%, ɜ 57%, t 48%
坤卦靜態 離卦靜態: ɗ 392%, ɲ 308%, x 238%, ŋ 230%, ɣ 206%, ɪ 177%, i 165%, l 140%, t͡ʃ 48%, ɔ 42%
坤卦靜態 離卦動態: h 200%, ɪ 177%, p 160%, m 114%, i 113%, ɔ 106%, d 78%, ə 73%, ɗ 66%, ɒ 66%
坤卦靜態 兌卦靜態: x 349%, ɣ 306%, o 273%, ɔ 198%, ɜ 197%, e 140%, ɑ 138%, v 126%, z 99%, s 90%
坤卦靜態 兌卦動態: f 378%, t 307%, ə 286%, ɪ 283%, j 241%, s 195%, n 135%, o 130%, l 51%, m 47%
坤卦靜態 乾卦靜態: ʌ 299%, f 241%, ɔ 190%, t͡ʃ 174%, n 169%, t̪ 134%, ə 104%, ɪ 88%, ɛ 73%, ɗ 71%
坤卦靜態 乾卦動態: ɔ 326%, v 239%, ɛ 183%, ɜ 159%, i 136%, f 103%, x 97%, n 35%, ʌ 33%, t͡ʃ 30%
坤卦動態 坤卦動態: ŋ 149%, ɐ 123%, f 96%, v 83%, t͡ʃ 80%, t 58%, u 55%, z 42%, e 27%, a 21%
坤卦動態 艮卦靜態: v 197%, t̪ 142%, a 132%, p 101%, ɜ 99%, ŋ 97%, i 72%, t͡ʃ 53%, ɛ 27%, f 27%
坤卦動態 艮卦動態: u 378%, t͡ʃ 372%, ŋ 109%, ɲ 103%, e 71%, y 66%, ə 50%, z 38%, f 34%, l 13%
坤卦動態 坎卦靜態: e 294%, t͡ʃ 240%, u 200%, v 165%, ŋ 148%, ɲ 94%, n 70%, ɗ 65%, k 50%, ɜ 46%
坤卦動態 坎卦動態: b 248%, o 181%, n 144%, ɜ 135%, ŋ 125%, x 97%, u 76%, t͡ʃ 71%, i 49%, z 23%
