be*,"-1.0,-1.0,-1.0"
become*,"-1.0,-1.0,1.0"
do*,"-1.0,-1.0,1.0"
go*,"-1.0,-1.0,1.0"
come*,"-1.0,-1.0,1.0"
enter*,"-1.0,-1.0,1.0"
exit*,"-1.0,1.0,1.0"
wait*,"-1.0,-1.0,1.0"
stay*,"-1.0,-1.0,1.0"
leave*,"-1.0,-1.0,-1.0"
return*,"-1.0,-1.0,1.0"
think*,"-1.0,1.0,1.0"
consider*,"-1.0,1.0,1.0"
decide*,"-1.0,1.0,1.0"
choose*,"-1.0,-1.0,1.0"
feel*,"1.0,1.0,1.0"
see*,"1.0,-1.0,1.0"
hear*,"1.0,-1.0,-1.0"
touch*,"-1.0,1.0,1.0"
smell*,"1.0,-1.0,-1.0"
taste*,"-1.0,1.0,1.0"
say*,"-1.0,-1.0,-1.0"
know*,"-1.0,-1.0,1.0"
learn*,"-1.0,-1.0,-1.0"
teach*,"-1.0,1.0,1.0"
repeat*,"-1.0,1.0,1.0"
be-used-to*,"1.0,-1.0,-1.0"
continue*,"-1.0,1.0,1.0"
ask*,"-1.0,-1.0,-1.0"
answer*,"-1.0,-1.0,1.0"
draw*,"-1.0,1.0,-1.0"
write*,"-1.0,1.0,-1.0"
read*,"-1.0,-1.0,1.0"
eat*,"-1.0,-1.0,1.0"
drink*,"1.0,-1.0,1.0"
have*,"-1.0,-1.0,1.0"
hold*,"-1.0,-1.0,1.0"
bring*,"-1.0,-1.0,-1.0"
get*,"-1.0,1.0,1.0"
give*,"-1.0,-1.0,-1.0"
send*,"-1.0,-1.0,-1.0"
put*,"-1.0,-1.0,1.0"
leave/*,"-1.0,1.0,1.0"
take*,"-1.0,-1.0,1.0"
steal*,"-1.0,-1.0,-1.0"
hit*,"1.0,1.0,1.0"
kick*,"-1.0,1.0,1.0"
rub*,"1.0,-1.0,-1.0"
turn*,"-1.0,-1.0,1.0"
push*,"1.0,1.0,1.0"
pull*,"-1.0,-1.0,1.0"
squeeze*,"-1.0,1.0,1.0"
wash*,"-1.0,-1.0,1.0"
shower*,"1.0,1.0,1.0"
wipe*,"-1.0,1.0,-1.0"
scratch*,"-1.0,-1.0,-1.0"
cut*,"1.0,1.0,1.0"
connect*,"-1.0,1.0,1.0"
stick*,"-1.0,1.0,1.0"
split*,"1.0,1.0,-1.0"
stab*,"-1.0,-1.0,1.0"
laugh*,"-1.0,-1.0,1.0"
smile*,"-1.0,-1.0,1.0"
cry*,"-1.0,-1.0,-1.0"
bite*,"-1.0,1.0,-1.0"
suck*,"1.0,-1.0,1.0"
swallow*,"1.0,-1.0,1.0"
spit*,"1.0,-1.0,1.0"
vomit*,"-1.0,1.0,1.0"
blow*,"1.0,-1.0,-1.0"
breathe*,"-1.0,-1.0,-1.0"
cough*,"1.0,1.0,1.0"
yawn*,"-1.0,-1.0,1.0"
throw*,"-1.0,-1.0,1.0"
catch*,"-1.0,1.0,1.0"
dig*,"-1.0,-1.0,-1.0"
tie*,"-1.0,-1.0,-1.0"
sew*,"1.0,-1.0,1.0"
count*,"-1.0,1.0,-1.0"
wear*,"-1.0,-1.0,1.0"
open*,"-1.0,-1.0,1.0"
close*,"1.0,-1.0,1.0"
begin*,"-1.0,-1.0,1.0"
finish*,"-1.0,-1.0,1.0"
lose*,"-1.0,-1.0,1.0"
look-for*,"-1.0,1.0,1.0"
find*,"-1.0,-1.0,1.0"
change*,"-1.0,-1.0,1.0"
buy*,"-1.0,-1.0,1.0"
pay*,"-1.0,1.0,-1.0"
sell*,"-1.0,-1.0,1.0"
try*,"-1.0,-1.0,1.0"
make*,"-1.0,1.0,1.0"
create*,"-1.0,-1.0,1.0"
use*,"-1.0,-1.0,-1.0"
break*,"-1.0,1.0,1.0"
ruin*,"-1.0,-1.0,1.0"
kill*,"1.0,1.0,-1.0"
die*,"1.0,-1.0,1.0"
live*,"-1.0,-1.0,-1.0"
dream*,"-1.0,-1.0,-1.0"
sleep*,"1.0,-1.0,1.0"
wake-up*,"-1.0,1.0,1.0"
lie*,"-1.0,-1.0,-1.0"
sit*,"1.0,1.0,1.0"
squat*,"1.0,1.0,1.0"
