new_row_index,english,inserted_after,old_anchor_id
5,approach,come,4
13,mind,think,11
14,doubt,think,11
21,listen,hear,17
26,promise,say,21
27,boast,say,21
28,tell,say,21
29,speak,say,21
30,mumble,say,21
31,stutter,say,21
33,secret,know,22
47,own,have,35
48,keep,have,35
52,lift,carry,38
55,help,give,40
69,bathe,wash,53
81,grief,cry,64
83,chew,bite,65
91,sneeze,cough,72
93,blink,yawn,73
107,seem,look for,86
111,coin,buy,89
112,bill,buy,89
113,debt,buy,89
114,owe,buy,89
115,tax,buy,89
118,trade,sell,91
119,merchant,sell,91
121,dare,try,92
135,kneel,sit,105
140,ride,walk,109
142,flee,run,110
144,climb,jump,111
146,dive,swim,112
152,obey,follow,117
175,raw,cook,139
176,cooked,cook,139
188,pity,love,150
189,forgive,love,150
190,praise,love,150
193,greedy,want,152
196,blame,hate,154
199,embrace,kiss,156
204,quarrel,fight,160
205,threaten,fight,160
243,wedding,marry,197
244,divorce,marry,197
312,refuse,deny,264
447,proud,happy,398
522,wise,clever,472
527,beggar,poor,476
611,yes,not,559
612,no,not,559
613,enough,not,559
639,eleven,ten,584
640,twelve,ten,584
641,fifteen,ten,584
642,twenty,ten,584
656,people,person,597
662,twins,child,602
668,widow,wife,607
670,widower,husband,608
673,parents,father,610
677,pregnant,baby,613
684,relatives,sister,619
685,uncle,sister,619
686,aunt,sister,619
946,vein,blood,878
948,rib,bone,879
987,breakfast,soup,917
988,lunch,soup,917
989,dinner,soup,917
990,meal,soup,917
991,snack,soup,917
1031,flour,sugar,956
1038,dish,bowl,962
1052,forehead,face,975
1055,eyebrow,eye,977
1056,eyelash,eye,977
1057,eyelid,eye,977
1062,nostril,nose,981
1070,thumb,finger,988
1073,heel,foot,990
1084,elbow,arm,1000
1090,throat,neck,1005
1093,chest,breast,1007
1099,jaw,chin,1012
1120,fever,disease,1032
1122,itch,pain,1033
1123,wound,pain,1033
1124,bruise,pain,1033
1125,scar,pain,1033
1171,path,road,1078
1205,morning,night,1111
1206,afternoon,night,1111
1207,evening,night,1111
1208,midday,night,1111
1212,age,year,1114
1247,loud,sound,1148
1397,towel,soap,1297
1416,bracelet,ring,1315
1417,necklace,ring,1315
1418,earring,ring,1315
1419,ornament,ring,1315
1509,belt,hat,1404
1510,button,hat,1404
1511,collar,hat,1404
1512,glove,hat,1404
1513,boot,hat,1404
1514,veil,hat,1404
1653,servant,job,1542
1654,master,job,1542
1655,wages,job,1542
1667,village,town,1553
1735,guest,friend,1620
1736,host,friend,1620
1737,stranger,friend,1620
1738,neighbour,friend,1620
1908,beside,with,1789
1948,soon,again,1828
