,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɔ,ɕ,ə,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"southerly (0.77),roost (0.63),east (0.71),sweeps (0.63),aft (0.67)",,"seafront (0.89),walkable (0.71),harbour (0.81),motorway (0.79),restaurant (0.7)","pizzas (0.76),crisps (0.83),takeaway (0.76),chips (0.78),seafront (0.61)","san (0.69),yang (0.67),chai (0.69),lime (0.62),rattan (0.63)","teddy (0.71),bun (0.49),santa (0.66),fur (0.68),brown (0.68)","papa (0.85),sarah (0.73),belle (0.6),mama (0.81),boy (0.68)","diagonally (0.83),baguette (0.75),wedges (0.69),rectangle (0.8),squares (0.79)","plate (0.68),tortilla (0.78),wedges (0.73),chips (0.74),baguette (0.79)","east-west (0.81),sloping (0.58),fall (0.51),north-south (0.77),swept (0.52)","granite (0.87),wooden (0.76),walkway (0.67),marble (0.85),tiled (0.81)","ramp (0.58),lifts (0.66),tumbled (0.57),glass (0.64),chips (0.58)","ramp (0.76),ramps (0.73),toppled (0.59),atop (0.74),hill (0.64)","ramp (0.83),halt (0.69),ramps (0.72),embankment (0.64),stall (0.6)",,,"harbour (0.84),coast (0.92),estuary (0.83),coastline (0.9),south (0.79)",,,,"chilly (0.77),locals (0.63),casual (0.61),bitterly (0.64),hospitable (0.69)","east-west (0.82),north-south (0.8),cropped (0.56),distanced (0.63),overlaps (0.72)","staging (0.62),pre-season (0.71),by-election (0.75),derail (0.53),sacked (0.64)","by-election (0.75),mutiny (0.74),pre-season (0.64),aground (0.58),derail (0.61)","gulf (0.62),thai (0.77),wat (0.7),harbour (0.72),chai (0.45)"
aɪ,,,"celebrate (0.64),headlining (0.66),waterfront (0.52),scrapped (0.56),redesign (0.68)","celebrate (0.6),retrofit (0.63),scrapped (0.62),comeback (0.73),stadium (0.54)","yay (0.76),casa (0.56),blah (0.7),mama (0.65),mon (0.7)","easter (0.64),mama (0.8),boo (0.64),hen (0.73),papa (0.78)","papa (0.8),mama (0.92),momma (0.9),boy (0.76),daddy (0.89)","cupcake (0.78),casserole (0.76),stencil (0.5),baguette (0.84),sandwich (0.78)","cupcake (0.87),cupcakes (0.86),casserole (0.73),backsplash (0.63),cake (0.8)","decimated (0.68),relegated (0.7),hiatus (0.73),mid-season (0.7),remake (0.66)","renovated (0.8),clubhouse (0.79),ballroom (0.69),picnic (0.54),remodeled (0.79)","picnic (0.83),nachos (0.72),lasagna (0.71),patio (0.74),poolside (0.71)","mid-season (0.57),renovations (0.87),renovation (0.91),redevelopment (0.83),rebuilding (0.77)","mid-season (0.57),picnic (0.51),renovations (0.86),demolition (0.77),renovation (0.89)",,,"outing (0.69),boo (0.44),weekend (0.7),salmon (0.6),spawning (0.64)",,,,,"spawning (0.66),fall (0.63),hiatus (0.7),roost (0.64),outing (0.56)","mid-season (0.8),mutiny (0.72),ruin (0.53),season (0.75),debacle (0.74)","mutiny (0.73),mid-season (0.79),debacle (0.8),disaster (0.76),season (0.74)","hey (0.8),sad (0.59),peeps (0.77),kiddies (0.72),yay (0.77)"
eɪ,"breach (0.79),roost (0.52),netted (0.62),interception (0.76),breaching (0.79)",,,,"dan (0.71),limes (0.6),nil (0.65),yang (0.66),downed (0.55)","earl (0.72),petit (0.76),pears (0.63),muffin (0.66),mary (0.67)","papa (0.74),belle (0.75),sarah (0.74),maison (0.72),mon (0.72)","sliced (0.81),diagonally (0.7),slices (0.82),foiled (0.47),baguette (0.8)","scoops (0.59),muffin (0.76),chips (0.68),batter (0.65),pies (0.79)",,,,"hole (0.6),win (0.78),vault (0.57),losing (0.64),won (0.71)",,,,"duck (0.83),trout (0.85),salmon (0.88),boo (0.46),cod (0.79)",,,,,,"weakest (0.66),risked (0.68),halved (0.7),par (0.65),chances (0.7)",,
i,,,,,"ionic (0.74),energy (0.74),lithium (0.71),chemicals (0.72),biochemistry (0.6)","negro (0.53),sheep (0.79),teddy (0.64),woolly (0.69),rabbit (0.78)","homo (0.6),young (0.6),non-human (0.67),domesticated (0.7),born (0.68)","rectangle (0.91),rectangles (0.85),diagonal (0.89),diagonally (0.9),square (0.79)","rectangle (0.79),sheet (0.69),wrapper (0.73),plate (0.65),cursor (0.64)",,"functionally (0.89),conventionally (0.84),similarly (0.8),conceptually (0.85),fundamentally (0.82)","awkwardly (0.67),spins (0.59),recline (0.71),seating (0.64),switches (0.58)",,,"mechanic (0.69),repairman (0.74),wrench (0.85),screwdriver (0.8),levers (0.69)","gearbox (0.81),repairman (0.67),converter (0.69),brakes (0.71),vibrator (0.6)",,,"visualize (0.83),imagination (0.73),comprehend (0.86),realize (0.75),brain (0.58)",,,,,,"inasmuch (0.73),know (0.67),homo (0.44),insofar (0.78),even (0.66)"
in,,,,,"antiretroviral (0.78),progesterone (0.7),idealism (0.55),psychotherapy (0.77),pharmacological (0.76)","shepherds (0.67),young (0.67),illustrators (0.72),adopters (0.69),abolitionist (0.57)",,"rectangle (0.71),div (0.65),watermark (0.7),fonts (0.74),font (0.86)","kiosks (0.74),flat-screen (0.53),non-free (0.6),barcode (0.78),labels (0.68)",,,,,,"traffickers (0.76),authorities (0.8),pharmacists (0.66),militants (0.72),reassurance (0.53)","authorities (0.77),traffickers (0.72),striker (0.53),buyers (0.71),inspectors (0.74)",,,"introspective (0.76),consciousness (0.59),perceptive (0.69),optimistic (0.64),self-awareness (0.69)",,,,,,"expectant (0.76),dear (0.73),young (0.61),reassuring (0.73),sincere (0.71)"
iŋ,,,,,"wellness (0.74),outlook (0.72),refreshing (0.64),positive (0.67),spiritual (0.66)","adolescent (0.81),expectant (0.74),millennial (0.78),young (0.79),open-minded (0.67)","young (0.81),open-minded (0.66),adolescent (0.78),happiest (0.65),millennial (0.78)","triangular (0.88),crescent (0.81),rectangle (0.81),stylized (0.66),oval (0.8)","plate (0.49),icons (0.84),icon (0.86),overlay (0.61),emoji (0.78)",,"uniquely (0.81),decidedly (0.8),profoundly (0.79),shaded (0.48),positively (0.76)","signaled (0.67),nod (0.74),tilt (0.6),bar (0.57),marquee (0.63)",,,"engagement (0.59),mission (0.6),priority (0.69),critical (0.72),indications (0.62)","engagement (0.61),reassurance (0.79),alert (0.6),optimism (0.78),freshness (0.67)",,,"profound (0.76),self-awareness (0.65),optimistic (0.65),outlook (0.71),vision (0.67)",,,,,,"hospitable (0.83),serene (0.69),positive (0.64),welcoming (0.85),enlightened (0.67)"
iɑ,,,,,,,,,,,,,,,"drill (0.73),lever (0.8),spoon (0.69),hammer (0.81),multiplier (0.54)","lever (0.86),plunger (0.86),knob (0.79),spoon (0.71),vibrator (0.7)",,,"closeup (0.65),figure (0.58),seahorse (0.67),coloring (0.68),teal (0.65)",,,,,,"olive (0.71),gourd (0.63),tit (0.36),honey (0.71),iodine (0.59)"
iɑŋ,,,,,"potassium (0.9),triglycerides (0.72),magnesium (0.81),aromatic (0.64),antioxidant (0.82)",,"chubby (0.8),petite (0.7),cocoa (0.5),inquisitive (0.56),asian (0.68)",,,,,,,,"levers (0.62),wholesalers (0.8),supermarkets (0.62),lever (0.57),wholesaler (0.67)","purchases (0.63),lever (0.39),scoops (0.66),chocolates (0.67),condiments (0.68)",,,"turquoise (0.55),silhouette (0.62),instinctively (0.73),intuitively (0.64),binoculars (0.74)",,,,,,"wine (0.86),honey (0.58),fish (0.67),wines (0.8),seafood (0.82)"
iɑʊ,,,,,"turmeric (0.87),saffron (0.79),oregano (0.84),parsley (0.82),iodine (0.67)","whites (0.45),sheep (0.83),badger (0.71),bunny (0.72),reindeer (0.83)","goats (0.91),honey (0.6),reindeer (0.79),goat (0.84),chicks (0.62)","rectangle (0.88),stylized (0.6),rectangles (0.87),labels (0.47),diagonally (0.75)","swipe (0.69),plate (0.66),scoops (0.69),tosses (0.62),spoon (0.75)",,"stylized (0.67),horizontally (0.82),vertically (0.81),pointer (0.6),playfully (0.58)","playfully (0.64),mugs (0.6),shakers (0.65),tosses (0.62),whistles (0.63)",,,"whip (0.61),whistles (0.63),spoons (0.62),cutters (0.74),strikers (0.64)","scoops (0.54),whip (0.63),whistles (0.56),snaps (0.74),snap (0.72)",,,"hummingbirds (0.72),coloring (0.6),silhouettes (0.67),hummingbird (0.73),close-up (0.64)",,,,,,"trout (0.89),fish (0.88),ducks (0.77),bait (0.78),parrot (0.73)"
iɛ,,,,,"undergrad (0.81),biochemistry (0.88),semesters (0.62),pharmacology (0.77),science (0.71)","illustrators (0.67),fiction (0.67),genealogy (0.66),woolly (0.65),zebra (0.44)","homo (0.69),negro (0.7),female (0.85),born (0.64),male (0.87)","rectangle (0.76),triangular (0.79),truncated (0.76),non-standard (0.61),delineated (0.62)","wrapper (0.65),rectangle (0.83),overlap (0.68),rectangles (0.82),stripe (0.75)",,"similarly (0.79),functionally (0.86),conceptually (0.82),non-standard (0.74),entirely (0.77)","non-standard (0.66),slider (0.64),awkwardly (0.63),switches (0.64),tacked (0.53)",,,"programmer (0.68),cryptography (0.66),connections (0.74),mechanic (0.75),circuits (0.68)","coupler (0.79),transponder (0.78),gearbox (0.7),decoder (0.82),circuitry (0.81)",,,"continuum (0.74),similarities (0.69),comprehension (0.71),brevity (0.68),genesis (0.61)",,,,,,"this (0.8),fact (0.79),true (0.76),real (0.76),inter (0.37)"
