,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,kɔ,,pɔ,sɪk,aʊl,dəʊ,ju,bʌt,keɪk,haʊ,laɪk,tɹanspɔteɪʃən,,steɪʃən,,,tu,,saʊnd,saʊə,ɡɛs,kamfətɹi,tu,"a 61%, ʊ 47%, ɔ 40%, t 26%, k 21%, s 12%, ʃ -8%, e -11%, u -20%, p -48%, n -54%, ə -58%, ɪ -59%, d -60%, i -63%, ɛ -70%, f -72%, j -76%, ɹ -85%, ɡ -87%, h -89%, l -89%, b -92%, ʌ -100%, m -113%"
aɪ,,,kʌmpəni,kʌlt͡ʃə,kənsɪstənt,kʌmpəni,vju,sʌn,teɪkkeəɹɒv,nɛst,pɛlɪkən,kəmpʌlsəɹi,d͡ʒʌstɪs,kəlɪʒən,,,kɒfi,,,,ʌndəstand,,ant,"ʌ 153%, n 109%, k 69%, s 17%, ə 11%, p -17%, t -23%, v -28%, i -36%, ɛ -52%, e -53%, ɒ -58%, l -62%, m -73%, d -79%, f -81%, j -83%, t͡ʃ -84%, u -96%, ɪ -96%, ʒ -100%, d͡ʒ -120%, ɹ -121%, a -135%"
eɪ,lʌŋ,,pʊʃ,,katəpɪlə,kləʊðz,d͡ʒɛləs,stʌmp,lʌv,,,,əbʌv,,,,kɒf,,,fɹɛʃ,,,,"ʌ 226%, v 146%, ʃ 99%, l 70%, p 38%, f 19%, ɛ 5%, ə -4%, k -8%, ʊ -12%, ŋ -18%, d͡ʒ -38%, ɒ -47%, b -55%, ð -56%, z -63%, s -76%, t -86%, m -93%, ɹ -112%, a -130%, ɪ -167%"
i,,,,,peə,pɹɪsaɪs,ju,ɹabɪt,bat,,plastɪk,klɒk,,,junɪvɜs,ʌðə,,slipi,,,,,wɒnt,"ɒ 65%, p 63%, s 55%, a 19%, ɪ 16%, b 15%, t -9%, ɜ -11%, j -14%, ɹ -15%, u -23%, k -25%, l -29%, v -35%, i -38%, w -43%, e -56%, ð -69%, ʌ -73%, ə -91%, n -93%"
in,,,,,ʃaʊə,kɑpəntə,,ɪmɔtəl,kɑt,,,,,,saksəfəʊn,səʊld͡ʒə,,haɪɐsɪnθ,,,,,wʊmən,"ɑ 88%, ʊ 85%, ə 83%, n 22%, s 15%, k -19%, a -27%, w -39%, θ -46%, ʃ -47%, t -48%, m -51%, d͡ʒ -51%, f -51%, h -52%, p -62%, l -63%, ɪ -73%, ɐ -73%, ɔ -102%"
iŋ,,,,,ʃaʊə,faɪbə,ju,atəm,pleɪn,,pɹaɪmmɪnɪstə,flaɪ,,,ɛksəsaɪz,kɹaɪ,,ɹaɪm,,,,,aɪ,"a 245%, ɪ 217%, ɹ 73%, m 21%, f -5%, p -28%, ə -29%, s -51%, ɛ -58%, e -59%, ʃ -60%, j -64%, l -72%, k -72%, b -72%, u -76%, ʊ -81%, z -82%, n -101%, t -105%"
iɑ,,,,,,,,,,,,,,,t͡ʃɜp,d͡ʒʌmp,,t͡ʃɪp,,,,,ɑmpɪt,"p 457%, d͡ʒ 254%, t͡ʃ 246%, ɜ 241%, ɑ 238%, m 153%, ʌ 124%, ɪ 95%, t -39%"
iɑŋ,,,,,t͡ʃeəmən,,,,,,,,,,ɹɪmɛmbə,ɔlðəʊ,,d͡ʒɪm,,,,,ɪmpʌls,"m 268%, d͡ʒ 57%, ɪ 42%, ə 37%, ð 16%, ɔ 12%, b 3%, ʌ -1%, l -3%, t͡ʃ -13%, ɛ -15%, e -19%, p -28%, ɹ -31%, ʊ -34%, s -96%, n -101%"
iɑʊ,,,,,kəlɪʒən,tjubə,saʊə,ʃɑp,swɪm,,peɪʃənt,kɪt͡ʃən,,,sʌn,kɪt͡ʃən,,ʃɔt,,,,,swɒmp,"ʃ 178%, ʒ 100%, n 62%, w 43%, ə 24%, p 18%, ɪ 11%, s 3%, t͡ʃ -7%, k -27%, ɑ -43%, m -56%, t -56%, e -56%, j -62%, ɒ -67%, b -68%, u -73%, ʌ -75%, ʊ -78%, l -104%, ɔ -111%, a -138%"
iɛ,,,,,ʃakəl,,,sʌmtaɪmz,,,mjuzɪk,klasɪkəlmjuzɪk,,,d͡ʒʌstɪs,t͡ʃɪn,,fʌnd,,,,,d͡ʒɒb,"z 116%, ʌ 101%, d͡ʒ 82%, ɪ 69%, k 63%, m 38%, s 11%, j -12%, u -21%, l -27%, a -30%, ʃ -49%, f -52%, t͡ʃ -57%, ɒ -62%, b -65%, d -80%, ə -90%, n -91%, t -97%"
iɛn,,,,,pɒlɪtɪʃən,t͡ʃitə,ʃaʊə,satɜn,t͡ʃat,,stɪk,pɛlɪkən,,,səʊld͡ʒə,t͡ʃɪn,,ʃɑk,,,,,t͡ʃeəmən,"ʃ 159%, t͡ʃ 87%, n 47%, ə 37%, t 19%, ɪ -2%, ɜ -19%, p -28%, ʊ -34%, k -34%, l -37%, a -45%, ɑ -50%, s -51%, i -58%, ɛ -58%, e -59%, d͡ʒ -66%, ɒ -74%, m -102%"
iɤʊ,,,,,aʊl,,mɔ,,,,,,,,fʊl,swɪŋ,,slɪm,,,,,swɪm,"w 314%, ŋ 200%, m 190%, s 174%, l 137%, ɪ 134%, ʊ 127%, ɔ 103%, f 32%, a -59%"
iʊŋ,,,,,,,,,,,,,,,,təɡɛðə,,sɛptɛmbə,,,,,,"ɛ 404%, ð 188%, ɡ 152%, b 142%, t 131%, ə 115%, p 45%, m 15%, s -13%"
u,pɒt,,pɒlətɪks,fan,kɒɹəl,mʌstəd,maɡnɪt,matə,patən,jʊəɹanəs,maɹəʊ,stɪk,land,sɪti,,,ɛkspiəɹɪəns,,kɑt,pəlut,sɛnd,hɪt,hav,"t 73%, a 33%, s 19%, ɒ 12%, p 6%, ə -0%, ɹ -0%, n -1%, k -39%, d -47%, m -49%, h -50%, ɛ -52%, i -56%, l -61%, ɪ -70%, ʊ -74%, f -80%, j -83%, u -95%, ɑ -97%, ɡ -100%, v -102%, ʌ -112%"
uan,,,əʊpən,kəʊt,wɒlɹəs,,,,,ɹaʊnd,klaʊd,kləʊs,bəʊt,,,,flaʊə,,kɹaʊd,,kəʊt,kəʊt,ɡəʊt,"ʊ 374%, k 73%, ə 73%, ɹ 61%, d 17%, t 12%, a -3%, l -8%, w -52%, f -60%, p -68%, ɡ -70%, b -75%, ɒ -79%, s -99%, n -105%"
uaɪ,,,kəmand,kəʊst,,,,,,,,,,,,,balkəni,,,kʌntɹi,,,kəmand,"k 196%, n 156%, a 71%, d 56%, ə 19%, m 5%, i -12%, b -12%, ʌ -17%, t -39%, ʊ -43%, ɹ -52%, l -78%, s -104%"
ueɪ,,,nəʊz,mat͡ʃ,,,,,,snəʊstɔm,ɹəʊst,stɑ,nɛst,klɛvə,,,paɪlət,,ɒpəɹə,dʌbəl,,dʌm,wɛst,"s 77%, t 56%, ə 33%, ɛ 27%, ʊ 11%, ʌ -4%, m -22%, p -29%, d -34%, ɹ -35%, l -39%, v -48%, w -51%, ɑ -52%, n -54%, t͡ʃ -63%, b -74%, ɒ -77%, z -84%, a -95%, k -111%, ɔ -121%, ɪ -178%"
uɑ,,,flat,,,,,,,,,,,,,,flaɪ,,,lʌk,land,,planɪt,"a 308%, l 300%, f 162%, n 54%, ʌ 43%, t 25%, ɪ 4%, d -0%, p -5%, k -50%"
uɑŋ,,,flaɪ,flat,,,,,,,,,,,,,flaɪ,,,flʌd,bʌbəl,kəʊt,θɹɛd,"f 284%, l 179%, ʌ 133%, b 132%, θ 100%, a 80%, d 62%, ɛ -21%, t -34%, ʊ -40%, ɹ -46%, ə -57%, ɪ -58%, k -77%"
uɔ,,,meɪpəl,paɪnapəl,nidəl,mʌsəl,,mɛtəl,paɪnapəl,nʌt,nɜsəɹi,manɪd͡ʒə,nɛk,nɛk,,,faiəflaɪ,,ikwəl,tɹʌŋk,mɛsɪd͡ʒ,,faɪv,"a 56%, n 51%, l 34%, p 18%, ɛ 9%, ə 0%, ʌ -9%, f -10%, m -13%, ɪ -26%, i -31%, d͡ʒ -33%, k -51%, ɜ -55%, e -73%, w -80%, v -94%, s -100%, ŋ -105%, d -106%, ɹ -107%, t -109%"
uən,,,skwɒt,stju,skwɒt,,,,,dju,stju,stju,stju,spɪt,,,stju,,,stju,spɪt,splɪt,stju,"s 347%, t 308%, u 245%, j 238%, ɒ 45%, w 33%, p 11%, k -72%, d -86%, ɪ -89%, l -106%"
y,,,,,kjʊəɹiəs,,ju,,,,,,,,tu,tɛn,,peəɹəntsɪnlɔ,,,,,vju,"ɹ 135%, u 126%, j 126%, n 67%, v 60%, t 35%, ə 19%, ɔ -14%, ɛ -23%, s -25%, e -27%, p -36%, ʊ -43%, i -44%, l -78%, k -80%, ɪ -142%"
yn,,,,,,,,,,,,,,,nəʊz,dɔ,,siɐnɛməni,,,,,ɪnsaɪd,"n 308%, d 140%, ɔ 86%, ɐ 67%, z 53%, s 43%, i 16%, ɛ 10%, ɪ 4%, ʊ -6%, ə -26%, m -38%, a -65%"
yœ,,,,,mɒdəl,,,,,,,,,,maɡɐzin,maŋɡəʊ,,siɐnɛməni,,,,,hɪstəɹi,"ɐ 126%, m 118%, ɡ 100%, i 37%, ŋ 36%, n 35%, ə 0%, ɒ -4%, h -8%, z -32%, ɛ -33%, a -36%, s -44%, ʊ -53%, d -54%, ɹ -74%, l -86%, t -122%, ɪ -151%"
yɛn,,,,,,,,,,,,,,,maɹɪɡəʊld,sɒlti,,nʌtmɛɡ,,,,,baɪɒləd͡ʒi,"ɒ 268%, ɡ 152%, l 58%, d͡ʒ 48%, m 15%, b -3%, a -3%, ʌ -7%, i -7%, ɛ -18%, t -28%, d -35%, ʊ -37%, ɹ -39%, ɪ -52%, ə -54%, s -99%, n -105%"
ɑ,bɒm,,ʃeɪk,hi,əʊld,and,wɪnd,ɑmpɪt,hɪt,flaɪ,θɪk,hɪt,lɪli,mɛsɪd͡ʒ,,,θɪk,,,hand,sand,ɑm,,"h 183%, ɪ 174%, d 105%, θ 88%, ɑ 39%, m 5%, a -16%, l -17%, n -22%, i -44%, k -45%, w -58%, e -63%, ɛ -63%, f -63%, p -71%, ʃ -71%, t -76%, d͡ʒ -79%, b -80%, ʊ -86%, ɒ -86%, s -104%, ə -119%"
ɑŋ,laɪt,,kul,ɔlsəʊ,waɪd,bəʊl,ɡɔlbladə,tul,həʊl,stɹɔbəɹi,ɹaɪt,aɪ,pɹaɪvət,kəʊɪnsɪdəns,,,ʃi,,,vɛt,ɔɡəst,ɔɡəst,mɜdə,"ɔ 160%, l 32%, ɹ 22%, t 20%, ə 13%, ɡ 1%, d -4%, b -6%, a -8%, ʊ -9%, v -12%, s -17%, ɪ -28%, i -54%, ɜ -56%, u -64%, ɛ -75%, w -80%, p -81%, h -100%, k -101%, ʃ -101%, m -118%, n -138%"
ɑɻ,,,,,,,,,,,,,,,,,,,,,,,iə,"ə 453%, i 407%"
