,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʊəd,plaʊ,flaʊə,bɔɪ,ʃaʊə,ɡʌn,pʊə,kɔ,pɔ,bɜn",,"pɔt,bʌt,pʊt,pɔ,bɔɪ,bɔd,ʃaʊt,ʃeɪk,kɔt,bʊk","bɔɪ,ʃeɪk,bʌkɪt,ɛnd͡ʒɔɪ,θɪk,θɪk,ʃi,pɔ,d͡ʒɪŋkɡəʊ,tɔɪ","eəkəndɪʃənə,t͡ʃeəmən,plaʊ,t͡ʃeə,ɡleɪʃə,kəmpeə,ɡəʊldən,fɪʃəmən,d͡ʒəɹeɪniəm,daiəmənd","vɛt,bəʊ,mɔ,bɑ,bɔɪ,ɡəʊ,vaɪn,ðeɪ,bɜn,haʊ","mɔ,ʃaʊə,dju,bɔɪ,vju,bɑ,nju,ɡəʊ,ju,ju","bʌt,bʌs,slaɪd,slaɪd,snɒt,bʌtəflaɪ,θɹʌʃbɜd,nʌtmɛɡ,pɔt,pinʌt","t͡ʃeɪn,ʃeɪk,pɹeɪ,seɪn,keɪk,seɪ,fəɡɛt,pinʌt,pleɪt,pleɪ","naʊ,flaʊə,ɐlaʊ,ðeɪ,saʊə,vju,haʊ,ʃaʊə,vɛt,fɹaɪ","pɔ,bɔɪ,bʊk,pʊə,ɐlaʊ,pʊt,pɔɪnt,pɔt,plaʊ,beɪk","ʃeɪk,fɹaɪdeɪ,ðeɪ,seɪ,dɹaɡənflaɪ,bɔɪ,tɹeɪ,pleɪ,pleɪ,bʊk",,"kleɪ,kləʊk,pleɪ,pleɪ,klam,plan,plant,pɹeɪ,klɒk,klɛvə",,,"bʌs,pɔ,mʌðəɹɪnlɔ,bʌt,bɜt͡ʃ,pʌs,bɑ,bɔɪ,bəʊ,pʊʃ",,"faɪnd,haʊ,θaʊzənd,ʃaʊə,ɛnvaɪɹənmənt,bɪhaɪnd,ɒlmənd,dɹaɪ,nju,vju","flaʊə,naʊ,daʊn,ɐlaʊ,flaɪ,flaɪ,fɹaɪ,haʊ,saʊə,plaʊ","valju,vɒljum,nju,d͡ʒanjuəɹi,ɐsjum,swɒn,nɛfju,dju,daʊn,vju","ti,ʌvən,hɛvən,sɛvən,deɪ,ki,ɡʌvən,flaɪ,flaɪ,fəɹɛvə","tɔɪ,d͡ʒɜm,ʃʊd,ʃu,ʃaʊt,zu,d͡ʒʌmp,ʃaɪn,ɡʊəd,ʃut","ɪ 17%, ə 12%, a 12%, n 12%, t 10%, l 9%, ʊ 8%, e 7%, d 7%, k 7%"
aɪ,,,"mʌndeɪ,leɪdɪbʌɡ,əbʌv,pʊʃ,əʊk,blʌd,bʊʃ,pəʊstkɑd,bʊk,hʌndɹɪd","kiwi,beɪbi,weɪ,əʊkeɪ,pɒkɪt,t͡ʃizkeɪk,ɜθkweɪk,weɪt,weɪt,kʊki","eəkəndɪʃənə,kɪt͡ʃən,kəmand,kəmpeə,ɪntɜn,peɪʃənt,badmɪntən,d͡ʒɜm,ɐsɪstənt,kənsɪstənt","sɛnd,hʌnt,sɛntə,dɪsɛnd,sʌndeɪ,fʌnd,ɡɹandsʌn,bɛnd,sɪmɛnt,hɜt","badmɪntən,balkəni,wɪntə,mɪnt,dɪpɛndənt,ɪndɪpɛndənt,kəntɪnju,ɡɪlti,kənsʌltənt,bɪld","sɔt,bɹɛd,hʌt,sɔd,blʌd,sɔɪsɔs,hɛd,hʌnt,sʌk,blʌnt","pinʌt,peɪn,beɪbi,peɪ,ʃampeɪn,sɔt,əʊkeɪ,ɡeɪm,peɪnt,kamfətɹi","sneɪl,mɪl,mɪlk,flat,nɛst,last,mɛlt,hɪl,map,bɔɪl","eɪt,ɪɹɪɡeɪt,əʊkeɪ,bʊk,weɪt,weɪt,neɪkɪd,bɹeɪk,ɪntʊ,ɐvɔɪd","keɪk,ɐvɔɪd,weɪ,ɐɡɛn,kiwi,ɛd͡ʒukeɪʃən,weɪt,weɪt,skwɪd,ɪɹɪɡeɪt","balkəni,aɪlənd,daɪɹɛkʃən,ɪlɛkʃən,ɡɪlti,ɪlɛktɹɪʃən,bɪld,dɪlɪd͡ʒənt,d͡ʒanjuəɹi,ɡalɐksi","balkəni,kan,kɑneɪʃən,kamfətɹi,ɪnfəmeɪʃən,kaʒuəl,ɛd͡ʒukeɪʃən,kɪt͡ʃən,skan,kəlɪʒən",,,"ðeɪ,wi,bɪld,vɛɹi,vɛt,jɛt,bi,bi,bɪzi,kɒfi",,,,"and,stand,kandi,ant,ant,lɛnd,land,ɹɛstɹɒnt,ɡɪlti,ʌntɪl",,"ɡɪlti,sʌndeɪ,absənt,zu,hʌnt,ʌntɪl,sʌmwɒt,wɪnd,wɪski,sʌm","ɪ 18%, n 14%, t 13%, ə 9%, s 8%, k 8%, d 8%, l 8%, e 7%, ɹ 6%"
eɪ,"fɹɛnd,lʌŋ,jʌŋ,fɹʌnt,lʌv,tʌŋ,lɛft,lɛft,bak,bɪɡ",,"pʊʃ,tuθ,ɛnd,ɛɡ,tɔɪ,fɹɛnd,bɛnd,bʊʃ,ɪntʊ,əbʌv",,"ɛnəmi,aɪlənd,kaləndə,patən,mɛlən,piəni,peəɹənt,dɪfɹənt,katəpɪlə,fləʊ","kləʊðz,pɹɛfɹəns,pants,fɹɛʃ,lɛnz,fləʊ,nɜv,pis,snəʊ,fɹiz","paɪlət,d͡ʒɛləs,vaɪɹəs,laɪlək,bɑ,bʌsdɹaɪvə,ɡalɐksi,kaɹət,kaləndə,d͡ʒɪɹaf","pʌs,tuθ,ɹʌf,tap,tɔt͡ʃ,map,pɛt,paɪlət,nɔθ,paɹət","θɹʌʃbɜd,flʌd,θɹɛd,fɹɛʃ,flaʃ,flat,tuθ,flɔ,slaɪd,slaɪd",,,,"əbʌv,ɒv,lʌv,hav,nɜv,muv,ɡɪv,avɹɪd͡ʒ,bɪliv,nɛɡətɪv",,,,"kɒfi,hɑf,kɒf,ɹɪlaks,faɪl,haɪ,fɪks,waks,faɪnd,pɑk",,,"fɹɛnd,nɜv,ni,θɹi,lɛft,lɛft,fɹɛʃ,θɹɪfti,ɹʌf,fɹʌnt",,,,"ɪ 15%, l 12%, t 12%, n 10%, a 10%, s 9%, ə 9%, d 8%, m 8%, f 8%"
i,,,,,"mitɪə,midiə,peəɹəntsɪnlɔ,klinə,maɡɐzin,bɪɡsɪstə,kliə,baktiəɹiə,fɛbɹuəɹi,peəɹənt","pɹəʊsɛs,pɹɪnsɛs,pɹiviəs,vakjumklinə,pɹɒsɪkjutə,klɒzɪt,vinəs,pɹɪsaɪs,junɪvɜs,haɪɐsɪnθ","ju,ju,vju,dju,stju,nju,djʊəɹiən,kjʊəɹiəs,ʃaʊə,ɡʊəd","snɒt,slantɪd,flat,nɒt,nɒt,plant,fɹɒst,mɒs,planɪt,kɹɒs","plan,flat,fɹɒɡ,klɒθ,fɹɒst,klɒk,kɹɒs,pɛn,klam,flaʃ",,"last,plastɪk,fɹɒst,mɒθ,bʊk,flat,ɛlɪfənt,ɐnaləsɪs,ɐsɪstənt,laf","plastɪk,fɹɒst,klɒk,fɹɒɡ,klɒθ,flat,fɹɒm,steə,klam,keɪk",,,"junɪvɜs,ɡladɪəʊləs,ɐnaləsɪs,kɒlənaɪz,wɒlɹəs,tɛnɪs,kaɹət,dɪvɛləp,dɛzət,ɔdɪnəɹi","klɛvə,ɡʌvən,kʌvə,kwin,kan,təɡɛðə,ʌðə,kʌzən,ʌvən,tɹɛʒə",,"siɐnɛməni,ɐnɛməni,maθɪmatɪks,mɛni,mɪnɪməm,nɛfju,snapdɹaɡən,ɪmidɪətli,maksɪməm,nɛɡətɪv",,,,,"wɒnt,wɒn,wɒt,wɒʃ,wʊd,swɒmp,ʌndəstand,sʌmwɒt,wɒlɹəs,jɑd","ə 16%, n 13%, t 12%, s 11%, ɪ 11%, a 9%, l 8%, k 8%, ɹ 7%, i 7%"
in,,,,,"djʊəɹiən,t͡ʃeəmən,sɪnəmən,d͡ʒəɹeɪniəm,kjʊəɹiəs,klinə,ɡɹəneɪd,linɪənt,ʃaʊə,eəkəndɪʃənə","faɪbə,paʊdə,ɛvɪdəns,tɛnθaʊzənd,kənsɪdə,jus,θaʊzənd,ɡɑdənə,njuzpeɪpə,faɪnans",,"ɔtʌm,nɛbjʊlə,səpɔt,ɪmpɔtənt,dɪvɛləp,ɔɹɪəʊl,stɛpdɔtə,ɪmɔtəl,dəʊnʌt,ɹɪpɔtə","kɹɪsanθəməm,kwaiət,kamp,kan,kwɑsɑ̃,kəmpjutə,pɹɪzən,kwin,kəmpeə,ɡɑdən",,,,,,"nɛbjʊlə,ɪnɜʃə,səʊld͡ʒə,kɒlənaɪz,ɪnəsənt,ɛnvaɪɹənmənt,sɪnəmən,ɛksəsaɪz,mɜkjʊɹi,ɐnaləsɪs","ɡɑdənə,təɡɛðə,tjubə,ɡʌvən,pɒpjʊlə,pɒpjʊleɪʃən,kʌvə,eəkəndɪʃənə,mʌðə,ʌðə",,"dɪnaɪ,naɪn,saɪn,saɪn,naɪt,ɹaɪnəʊ,sɪnəmən,səsaiəti,laɪtnɪŋ,hapɪnəs",,,,,"ɪnəsənt,ɡɑdənə,ɡʊdbaɪ,wʊmən,mɒnjumənt,pɒpjʊlə,haɪɐsɪnθ,ɛnvaɪɹənmənt,wʊlf,wʊd","ə 22%, n 14%, ɪ 14%, a 9%, t 8%, m 8%, s 7%, l 7%, k 6%, ɹ 5%"
iŋ,,,,,"handəl,klinə,nidəl,kɒɹəl,kɒmən,kandəl,sidə,ʃadəʊ,hamə,məʃin","hamə,faɪbə,vakjumklinə,ʃadəʊ,klinə,faiəfaɪtə,nəʊvɛmbə,sidə,pɹəʊɡɹamə,fɑmə","pəlismən,mʌlbəɹitɹi,tjubə,məskitəʊ,d͡ʒanjuəɹi,ɒpəɹə,stɹɔbəɹi,switpəteɪtəʊ,bəlun,pjupəl","fan,planɪt,sand,nəʊt,lamp,hamə,tɹampəlin,sad,pɹəʊɡɹamə,pɹəʊɡɹam","pan,kɑd,pɑm,pianəʊ,pɹəʊɡɹamə,hamə,kan,plan,pɑt,fan",,"sɪstəm,təmɒɹəʊ,sɪɹamɪk,bɒtəm,pɹaɪmmɪnɪstə,lɪtəlsɪstə,ɹəʊbɒt,səʊləsɪstəm,ɹəʊp,pɹəʊɡɹamə","kʊk,kʊk,klam,klinə,kləʊk,bʊk,plan,ɡɑdənə,pup,planɪt",,,"kɒlənaɪz,ɪkɒnəmi,ɛksəsaɪz,kɒmən,klinə,anɪməl,ɪnɜʃə,avəkɑdəʊ,fɑmə,nɛptjun","klinə,kan,pɹəʊɡɹamə,klɛvə,tɹɛʒə,kwin,kɒmən,kaməl,kɹeɪn,kɹeɪn",,"ɹaɪnəʊ,hamə,faɪnəli,hapɪnəs,laɪtnɪŋ,ɪkɒnəmi,mɪnɪməm,naɪn,fɑmə,feɪməs",,,,,"hamə,swɒmp,wɒnt,fɑmə,ɡʊdbaɪ,wʊd,səʊbə,ʃampeɪn,kamp,wʊmən","ə 19%, ɪ 12%, a 12%, n 11%, m 8%, t 8%, k 8%, ɹ 7%, s 7%, l 7%"
iɑ,,,,,,,,,,,,,,,"d͡ʒʌmp,d͡ʒɛlɪfɪʃ,kɛt͡ʃʌp,ɔtʌm,t͡ʃɜp,tɛknɒləd͡ʒi,d͡ʒɜm,t͡ʃɛk,sʌm,t͡ʃɜt͡ʃ","tɹɛʒə,d͡ʒʌd͡ʒ,pɹɛʃə,kɛt͡ʃʌp,pɑmɪzan,t͡ʃɜt͡ʃ,d͡ʒʌmp,sʌm,ɡɑbɪd͡ʒ,ɡaɹɪd͡ʒ",,"t͡ʃɛk,t͡ʃɜp,t͡ʃɪp,sɪɹamɪk,ʃɪp,t͡ʃip,ʃip,t͡ʃɜt͡ʃ,d͡ʒɪm,d͡ʒʌmp",,,,,"d͡ʒʌmp,swɒmp,ɑmpɪt,kamp,ʌntɪl,wɒnt,wʊlf,ɑm,ɒn,pʌmpkɪn","ɪ 17%, n 12%, s 11%, m 11%, t 9%, l 9%, k 9%, p 8%, ə 8%, a 7%"
iɑŋ,,,,,"kəmplit,ɪmad͡ʒɪn,d͡ʒɛndə,ɪmpɔtənt,ɛntə,sɛntə,kəmpjutə,dɪsɛmbə,klinə,vɛd͡ʒɪtəbəl",,,,,,,,,,"d͡ʒʌmp,d͡ʒɛndə,ɪmad͡ʒɪn,dɪsɛmbə,ɪmpʌls,pʌmpkɪn,d͡ʒɪŋkɡəʊ,d͡ʒɪm,ɪmpɔtənt,ɔtʌm","kwin,it͡ʃʌðə,kʌlt͡ʃə,pʌmpkɪn,kɹɔl,dɒlfɪn,d͡ʒɪŋkɡəʊ,ðɛn,sʌn,sʌn",,"sʌnflaʊə,d͡ʒulaɪ,t͡ʃɜp,sʌmə,tɛknɒləd͡ʒi,d͡ʒɪm,ɪmad͡ʒɪn,t͡ʃɛk,d͡ʒɜm,d͡ʒʌmp",,,,,"d͡ʒʌmp,ɪmpʌls,pʌmpkɪn,kʌlt͡ʃə,kəmpʌlsəɹi,ɪnfɔm,ɪmpɔtənt,pʌŋk,it͡ʃʌðə,hʌnt","n 15%, ə 15%, ɪ 14%, m 10%, t 9%, l 8%, k 8%, s 7%, ɛ 7%, ʌ 6%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,kənsɪstənt,ɹaʃənəl,sɪstəm,kənsʌltənt,ɐksɛləɹeɪʃən,ɹɪsɛpʃənɪst,ɐsɪstənt,kɜnəl","sɛntə,swɒmp,saʊə,sɛl,kjub,ʃaʊə,tɛmpəl,ʃɛl,d͡ʒʌmp,saʊnd","ʃaʊə,saʊə,d͡ʒuəl,aʊə,lɪtəlsɪstə,sɛntə,d͡ʒɛlɪfɪʃ,pjupəl,ɐlɪtəl,ʃɛlf","t͡ʃɜt͡ʃ,tɛlɪskəʊp,t͡ʃɜp,ʃʌtəl,skɹat͡ʃ,skɛlɪtən,tɛnɪs,səpɔt,kɛt͡ʃʌp,sʌm","ʃɹɪmp,tɛmpəl,swɪm,kamp,stamp,swɒmp,skɹat͡ʃ,skɪn,stʌmp,pʌmpkɪn",,"kəmpʌlsəɹi,kənsɪstənt,ɪmpʌls,kənsʌltənt,dɪstəns,kɑpəntə,ɛlɪfənt,lɪtəlsɪstə,kəmpjutə,ɛlɪmənt","skwɒt,skɛlɪtən,skup,skweə,skwɪɹəl,skɹat͡ʃ,kjub,swip,skwɪd,skwiz",,,"sɔd,fɔl,tɔl,ʃɛdjul,kɔl,sɔt,tiʃɜt,skul,ɹul,wɔtəfɔl","kʌlt͡ʃə,kəlɪʒən,fɔl,kaʒuəl,tit͡ʃə,kɪt͡ʃən,kwin,it͡ʃʌðə,kɔl,tiʃɜt",,"sɔd,sɔt,fɔl,tiʃɜt,ʃɔt,ʃɔt,t͡ʃɜt͡ʃ,sisɔ,sʌk,naʊ",,,,,"swɒmp,d͡ʒʌmp,wʊlf,wʊl,swɒn,stʌmp,kaʊnt,skwɒt,sʌm,sʌmwɒt","ə 15%, s 14%, t 12%, ɪ 12%, l 11%, n 10%, k 9%, p 7%, a 5%, m 5%"
iɛ,,,,,"ʃakəl,baɪsɪkəl,ʃɛl,ɐksɛləɹeɪʃən,d͡ʒɛlɪfɪʃ,sɪkəl,t͡ʃiz,lɪtəlsɪstə,sɪstə,sisɔ",,,"ʌndəstand,ləʊtəs,sandpɪt,ɹəʊbɒt,sɛkɹətɹi,sand,pɹəʊsɛs,standəd,stand,stamp",,,"ɒstɹɪt͡ʃ,bɪɡsɪstə,dɪstɹɪkt,ʌndəstand,klasɪkəlmjuzɪk,lɪɹɪks,aɡɹɪkʌlt͡ʃə,ɡɹandsʌn,avɹɪd͡ʒ,ɹɪlaks","lɪtəlsɪstə,klasɪkəlmjuzɪk,t͡ʃeə,plastɪk,ʃeə,sɪstə,steə,ʃɛlf,aɡɹɪkʌlt͡ʃə,t͡ʃɛɹi",,,"ɛksəsaɪz,ɪlɛktɹɪsɪti,ɪlɛktɹɪʃən,aɪɹɪs,aɪɹɪs,ɪŋkɹis,ɹɪsɛpʃənɪst,d͡ʒʌstɪs,ɛɡzaktli,ɐksɛləɹeɪʃən","ɡʌn,d͡ʒɪŋkɡəʊ,kɹeɪn,kɹeɪn,kɹeɪzi,klin,ɪŋkɹis,ɛnd͡ʒɪn,kɹieɪt,ɡɛs",,"fʌni,hʌni,nɛkst,ɛɡzaktli,ni,mɪks,hɔn,hɔn,fʌnd,hu",,,,,"d͡ʒɔɪnts,d͡ʒʌmp,hʌnt,wɒnt,ɛnd͡ʒɔɪ,ʌndəstand,ant,ant,fʌnd,d͡ʒɒb","ɪ 15%, s 14%, ə 12%, t 12%, n 10%, ɹ 8%, k 8%, l 7%, ɛ 7%, i 6%"
