pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
巽卦-dynamic,wind / seepage,t͡ʃ,2.576,5,4,1.0,25,0.005,0.0518,True
中卦-static,center / uniformity,ɹ,2.039,5,4,1.0,149,0.005,0.0518,True
乾卦-dynamic,sky / tumult,z,2.027,8,5,1.0,52,0.005,0.0518,True
中卦-dynamic,center / mixture,w,1.671,6,5,1.0,45,0.005,0.0518,True
巽卦-dynamic,wind / seepage,u,1.538,12,7,0.86,145,0.005,0.0518,True
乾卦-dynamic,sky / tumult,f,1.51,7,5,0.8,52,0.005,0.0518,True
兌卦-static,marsh / cavity,u,1.477,12,8,0.88,87,0.005,0.0518,True
中卦-dynamic,center / mixture,ɪ,1.371,8,4,1.0,106,0.005,0.0518,True
中卦-dynamic,center / mixture,f,1.336,9,5,0.8,58,0.005,0.0518,True
坎卦-static,water / core,ŋ,1.209,14,7,1.0,367,0.005,0.0518,True
中卦-static,center / uniformity,h,1.14,9,7,0.86,223,0.005,0.0518,True
坎卦-static,water / core,ɲ,0.952,5,4,0.75,82,0.005,0.0518,True
坎卦-dynamic,water / dispersal,f,0.885,15,6,0.83,136,0.005,0.0518,True
坤卦-static,earth / void,s,0.813,22,11,0.91,735,0.005,0.0518,True
坎卦-dynamic,water / dispersal,h,0.81,12,7,0.86,292,0.005,0.0518,True
中卦-static,center / uniformity,s,0.693,21,11,0.91,346,0.005,0.0518,True
艮卦-dynamic,mountain / descent,ʃ,0.568,13,5,0.8,487,0.005,0.0518,True
震卦-static,thunder / base,t,0.553,21,11,0.91,1467,0.005,0.0518,True
震卦-static,thunder / base,ŋ,0.538,11,8,0.88,362,0.005,0.0518,True
艮卦-static,mountain / cover,ŋ,0.504,10,7,0.86,294,0.005,0.0518,True
坤卦-dynamic,earth / stillness,n,0.498,22,11,0.82,2341,0.005,0.0518,True
離卦-dynamic,fire / contraction,s,-0.494,22,11,0.82,1122,0.005,0.0518,True
兌卦-dynamic,marsh / emission,s,-0.492,22,11,0.82,916,0.005,0.0518,True
艮卦-dynamic,mountain / descent,o,-0.482,19,10,0.9,796,0.005,0.0518,True
艮卦-static,mountain / cover,s,-0.468,22,11,0.91,949,0.005,0.0518,True
坤卦-dynamic,earth / stillness,p,-0.46,19,9,0.89,562,0.005,0.0518,True
離卦-dynamic,fire / contraction,o,-0.449,19,10,1.0,933,0.005,0.0518,True
離卦-dynamic,fire / contraction,t,0.423,21,11,0.82,1662,0.005,0.0518,True
兌卦-dynamic,marsh / emission,i,-0.383,22,11,0.82,1662,0.005,0.0518,True
坤卦-dynamic,earth / stillness,k,-0.366,22,11,0.82,1308,0.005,0.0518,True
離卦-dynamic,fire / contraction,m,-0.318,22,11,0.82,1091,0.005,0.0518,True
兌卦-static,marsh / cavity,v,1.713,7,4,1.0,42,0.01,0.0821,True
中卦-dynamic,center / mixture,j,1.162,11,6,0.83,86,0.01,0.0821,True
乾卦-dynamic,sky / tumult,s,1.006,21,10,1.0,200,0.01,0.0821,True
離卦-static,fire / enclosure,p,0.933,14,7,0.86,86,0.01,0.0821,True
中卦-dynamic,center / mixture,i,0.702,22,11,0.91,324,0.01,0.0821,True
乾卦-static,sky / fullness,j,0.555,17,9,0.78,193,0.01,0.0821,True
坤卦-static,earth / void,b,0.453,18,9,0.89,432,0.01,0.0821,True
震卦-dynamic,thunder / rising,i,-0.416,22,11,0.82,1006,0.01,0.0821,True
艮卦-dynamic,mountain / descent,ɡ,0.39,17,8,0.88,521,0.01,0.0821,True
震卦-dynamic,thunder / rising,k,-0.345,22,11,0.91,573,0.01,0.0821,True
艮卦-dynamic,mountain / descent,l,0.314,21,11,0.82,1221,0.01,0.0821,True
離卦-dynamic,fire / contraction,k,-0.309,21,10,0.8,1140,0.01,0.0821,True
艮卦-static,mountain / cover,a͡ɪ,1.401,6,3,0.67,428,0.005,0.0518,False
坎卦-static,water / core,a͡ɪ,1.349,5,3,1.0,958,0.005,0.0518,False
坤卦-static,earth / void,ʌ,0.954,6,3,1.0,215,0.005,0.0518,False
