language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,巽卦-static,d͡ʒ,3.581,14,0.005,0.2361,False
Arabic,離卦-static,χ,3.432,9,0.005,0.2361,False
Arabic,中卦-static,t̪,3.36,16,0.005,0.2361,False
Arabic,艮卦-static,f,3.181,62,0.005,0.2361,False
Arabic,乾卦-static,ħ,3.09,26,0.005,0.2361,False
Arabic,兌卦-dynamic,a,2.963,565,0.005,0.2361,False
Arabic,離卦-dynamic,j,2.731,15,0.005,0.2361,False
Arabic,艮卦-dynamic,r,2.527,119,0.005,0.2361,False
Arabic,坤卦-dynamic,s̪,2.404,36,0.005,0.2361,False
Arabic,兌卦-dynamic,t,-2.086,31,0.005,0.2361,False
Arabic,坤卦-dynamic,k,-1.534,10,0.005,0.2361,False
Arabic,巽卦-dynamic,ʃ,3.37,6,0.01,0.3246,False
Arabic,中卦-dynamic,ð,2.941,7,0.01,0.3246,False
Arabic,坤卦-static,ɣ,2.469,14,0.01,0.3246,False
Arabic,兌卦-dynamic,i,-1.714,48,0.01,0.3246,False
Arabic,兌卦-dynamic,u,-1.53,24,0.01,0.3246,False
Arabic,乾卦-dynamic,q,3.061,15,0.0149,0.4101,False
Arabic,震卦-dynamic,m,-1.728,15,0.0149,0.4101,False
Arabic,震卦-dynamic,b,-1.707,10,0.0149,0.4101,False
Arabic,中卦-dynamic,ʕ,2.408,10,0.0199,0.5194,False
Arabic,震卦-dynamic,a,1.63,247,0.0249,0.5902,False
Arabic,坎卦-static,ʔ,1.332,89,0.0249,0.5902,False
Arabic,兌卦-static,z,2.906,8,0.0398,0.6702,False
Arabic,乾卦-dynamic,h,2.696,5,0.0398,0.6702,False
Arabic,中卦-dynamic,θ,2.31,4,0.0348,0.6702,False
Arabic,離卦-static,k,2.265,8,0.0348,0.6702,False
Arabic,艮卦-dynamic,n,-1.532,28,0.0348,0.6702,False
Arabic,坤卦-static,m,1.41,59,0.0398,0.6702,False
Arabic,艮卦-dynamic,m,-1.214,40,0.0299,0.6702,False
Arabic,坎卦-static,n,1.2,61,0.0398,0.6702,False
Arabic,艮卦-dynamic,b,-1.263,26,0.0448,0.7083,False
Arabic,震卦-static,t,1.237,98,0.0448,0.7083,False
Arabic,兌卦-static,w,2.977,5,0.0498,0.742,False
Arabic,巽卦-static,u,2.268,27,0.0498,0.742,False
Arabic,中卦-dynamic,r,-2.535,3,0.0547,0.7518,False
Arabic,中卦-static,ð,1.696,7,0.0547,0.7518,False
Arabic,坤卦-dynamic,ɣ,1.061,18,0.0547,0.7518,False
Arabic,艮卦-dynamic,k,-1.133,12,0.0597,0.7791,False
Arabic,艮卦-dynamic,u,-1.116,38,0.0597,0.7791,False
