family,source,target,k,n_concepts,acc_mean,acc_clean_mean,boot_ci95,nb_se,null_mean,null_p95,p_perm,q_fdr,mean_rank,n_collision_total
confirmatory,English,Chinese,100,1968,0.07166424945612762,0.0697054177558824,"[0.05836611675126903, 0.0840192168237853]",0.010195111779157297,0.049035265375185606,0.057465943230083916,0.0033222591362126247,0.0033222591362126242,854.0074173831969,32
confirmatory,English,French,100,1968,0.41661918574536416,0.4124959148122878,"[0.39441365378638765, 0.4369649331813944]",0.017035919632100802,0.048795633481819124,0.05895084429710971,0.0033222591362126247,0.0033222591362126242,493.22927069304876,197
confirmatory,English,Irish,100,1968,0.2637107634932145,0.26657374078770657,"[0.2528019786594841, 0.2737310939604268]",0.00796019142708584,0.04974821299078007,0.05994820263130634,0.0033222591362126247,0.0033222591362126242,626.6572904796436,176
exploratory,English,Semantics,100,1958,0.2062518242381508,0.17503427537331556,"[0.18894745409223723, 0.2214643567148819]",0.012835479654132894,0.05037735761800637,0.060297898189293805,0.0033222591362126247,0.0033222591362126247,633.2927416642999,79
confirmatory,Chinese,English,100,1968,0.07571739355640733,0.07459294065917896,"[0.0640411659587693, 0.08743162747332436]",0.009487838468341217,0.04892881314962532,0.05792253703511861,0.0033222591362126247,0.0033222591362126242,863.719323008391,79
confirmatory,Chinese,French,100,1968,0.08637729203356469,0.08566631732319506,"[0.07270226872474876, 0.10050761421319795]",0.011091206655215319,0.04871397493007355,0.05842315860354295,0.0033222591362126247,0.0033222591362126242,872.2856702579509,197
confirmatory,Chinese,Irish,100,1968,0.08994872060499327,0.08589776681425859,"[0.08227642960737595, 0.09812784885527816]",0.006354177323947512,0.04988027038226458,0.059999741013156534,0.0033222591362126247,0.0033222591362126242,850.0335387962292,176
exploratory,Chinese,Semantics,100,1958,0.17101258105096984,0.17039028678374687,"[0.15500016235455968, 0.18571422993250405]",0.01205178682400063,0.05067581126322258,0.05977770788852703,0.0033222591362126247,0.0033222591362126247,695.3450956583617,79
confirmatory,French,English,100,1968,0.4181497979902621,0.40861195915112447,"[0.3967906350357402, 0.4364623692116441]",0.01542900112196915,0.048071713456956384,0.05842510100486895,0.0033222591362126247,0.0033222591362126242,486.68257795503985,79
confirmatory,French,Chinese,100,1968,0.09045633481819124,0.08580471753570754,"[0.07668600435097897, 0.10416263078835594]",0.010951691318130828,0.048035912842294276,0.05746736765772299,0.0033222591362126247,0.0033222591362126242,849.713638247177,32
confirmatory,French,Irish,100,1968,0.19307469180565628,0.18243871740500228,"[0.18277530301460684, 0.2072950119133948]",0.009881281913579412,0.048737749922303945,0.05791554439034497,0.0033222591362126247,0.0033222591362126242,688.6266575157981,176
exploratory,French,Semantics,100,1958,0.1977037094118051,0.18358898429756534,"[0.17890816430590883, 0.21699618335340193]",0.014753325060935822,0.05008304161405804,0.060266531925047356,0.0033222591362126247,0.0033222591362126247,636.0454317880959,79
confirmatory,Irish,English,100,1968,0.2540557339687144,0.24799770250889028,"[0.24021547705376567, 0.26866544079560756]",0.011371789722381365,0.0476355191822922,0.05693540868123901,0.0033222591362126247,0.0033222591362126242,628.5033771884388,79
confirmatory,Irish,Chinese,100,1968,0.09198694706308919,0.09035117638468072,"[0.08223350253807107, 0.10170154356158707]",0.007376636741954958,0.04711762319140854,0.055423831969335965,0.0033222591362126247,0.0033222591362126242,843.4006966746089,32
confirmatory,Irish,French,100,1968,0.197127835905936,0.18414813614258657,"[0.1839894333367865, 0.2093110302496633]",0.010012984219998222,0.04729503781207915,0.05640785248109396,0.0033222591362126247,0.0033222591362126242,692.8645084429711,197
exploratory,Irish,Semantics,100,1958,0.19304074515478267,0.1829800464533829,"[0.17848484339572868, 0.20892502902528465]",0.01211828007063069,0.05026369039825938,0.059753202393200006,0.0033222591362126247,0.0033222591362126247,641.6884700062292,79
