language,pole,phoneme,z,count,p_perm,q_fdr,significant
Chinese,中卦-static,ɯ,3.211,16,0.0033,0.2915,False
Chinese,中卦-static,ʌ,3.211,16,0.0033,0.2915,False
Chinese,中卦-static,s,3.155,14,0.0033,0.2915,False
Chinese,艮卦-static,pʰ,2.818,25,0.0033,0.2915,False
Chinese,兌卦-dynamic,f,2.524,27,0.0033,0.2915,False
Chinese,艮卦-static,p,2.333,40,0.0033,0.2915,False
Chinese,坎卦-dynamic,ɛ,2.201,24,0.0033,0.2915,False
Chinese,離卦-dynamic,ʈ͡ʂ,1.773,42,0.0033,0.2915,False
Chinese,中卦-dynamic,t,2.819,8,0.01,0.3887,False
Chinese,乾卦-dynamic,l,2.745,12,0.01,0.3887,False
Chinese,中卦-dynamic,ə,2.664,10,0.0066,0.3887,False
Chinese,坎卦-static,n,1.752,84,0.0066,0.3887,False
Chinese,坤卦-static,i,1.748,75,0.01,0.3887,False
Chinese,坤卦-dynamic,ŋ,1.511,110,0.01,0.3887,False
Chinese,艮卦-static,ʊ,1.306,78,0.01,0.3887,False
Chinese,艮卦-dynamic,y,1.275,59,0.01,0.3887,False
Chinese,震卦-static,k,1.274,34,0.01,0.3887,False
Chinese,坤卦-dynamic,x,1.228,40,0.0066,0.3887,False
Chinese,震卦-static,t,1.498,35,0.0133,0.424,False
Chinese,艮卦-static,ə,-1.408,7,0.0133,0.424,False
Chinese,震卦-static,y,-1.378,7,0.0133,0.424,False
Chinese,離卦-dynamic,ɻ,1.353,35,0.0133,0.424,False
Chinese,乾卦-dynamic,y,2.572,10,0.0166,0.4485,False
Chinese,坎卦-dynamic,f,1.927,13,0.0166,0.4485,False
Chinese,震卦-static,ɨ,1.541,19,0.0166,0.4485,False
Chinese,震卦-static,p,1.278,27,0.0166,0.4485,False
Chinese,巽卦-static,tʰ,3.135,5,0.0199,0.4664,False
Chinese,震卦-static,t͡s,1.171,21,0.0199,0.4664,False
Chinese,艮卦-dynamic,n,-1.067,76,0.0199,0.4664,False
