baseline,source,target,acc_mean,boot_ci95,null_mean,null_p95,p_perm,q_fdr
editdist,English,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,English,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,English,Chinese,0.06759556614523983,"[0.06091370558375634, 0.07520977934320935]",0.050988984426257815,0.05945107738526882,0.0033222591362126247,0.003986710963455149
editdist,English,French,0.45222728685382785,"[0.4367565782658241, 0.4670050761421319]",0.05103553299492385,0.0584623951103284,0.0033222591362126247,0.0066445182724252485
orth,English,French,0.446620221692738,"[0.4248831969335958, 0.47048009686107944]",0.05095560965502952,0.058953563658966125,0.0033222591362126247,0.0066445182724252485
feat,English,French,0.29166062364031903,"[0.2738148762042888, 0.31334183673469385]",0.05063915363099555,0.0584434890707552,0.0033222591362126247,0.003986710963455149
editdist,English,Irish,0.2982673780171967,"[0.2872138195379675, 0.31082047032010773]",0.05065590144687317,0.058922614731171656,0.0033222591362126247,0.0066445182724252485
orth,English,Irish,0.28351030767637003,"[0.2695612115404537, 0.29695431472081213]",0.050619375669049345,0.05944045892468662,0.0033222591362126247,0.0066445182724252485
feat,English,Irish,0.21797886667357297,"[0.20488449186781313, 0.2341137470216513]",0.05068098863911047,0.05794001864705275,0.0033222591362126247,0.003986710963455149
editdist,Chinese,English,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,Chinese,English,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,Chinese,English,0.06759297627680513,"[0.05840412307054802, 0.07737335543354394]",0.05102506129355294,0.05893789495493629,0.0033222591362126247,0.003986710963455149
editdist,Chinese,French,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,Chinese,French,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,Chinese,French,0.06808246141096032,"[0.06043716979177459, 0.07665052315342381]",0.05114151041127111,0.05994794364446286,0.0033222591362126247,0.003986710963455149
editdist,Chinese,Irish,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,Chinese,Irish,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,Chinese,Irish,0.06046047860768673,"[0.05028961203770848, 0.07117476432197244]",0.05062787907040989,0.05894799544183155,0.026578073089700997,0.028994261552401087
editdist,French,English,0.4512042888221278,"[0.43320211333264275, 0.4684916606236403]",0.05093181739700956,0.058977778928830424,0.0033222591362126247,0.0066445182724252485
orth,French,English,0.4308815912151663,"[0.41029407956075836, 0.45025801564280526]",0.05067475568907766,0.057932767015435614,0.0033222591362126247,0.0066445182724252485
feat,French,English,0.30639956490210296,"[0.28930339013778106, 0.32469633792603336]",0.050816775441140924,0.058979721330156436,0.0033222591362126247,0.003986710963455149
editdist,French,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,French,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,French,Chinese,0.06706205324769501,"[0.059473091266963644, 0.07515293173106807]",0.0509098812113678,0.05842769087330364,0.0033222591362126247,0.003986710963455149
editdist,French,Irish,0.24136278877033046,"[0.2280248368382886, 0.25597482647881487]",0.050499369798680895,0.05943489070755205,0.0033222591362126247,0.0066445182724252485
orth,French,Irish,0.2052807417383197,"[0.19765357919817672, 0.21381435823060188]",0.04990654891398184,0.05741233295348596,0.0033222591362126247,0.0066445182724252485
feat,French,Irish,0.15396767844193518,"[0.1381384025691495, 0.1697313011499016]",0.05045851030767637,0.058448280327359374,0.0033222591362126247,0.003986710963455149
editdist,Irish,English,0.2967419455091681,"[0.2828985807520978, 0.3125034963223868]",0.05056744880693394,0.05793794675230498,0.0033222591362126247,0.0066445182724252485
orth,Irish,English,0.27489381539417795,"[0.26182462705894544, 0.28708995908007867]",0.05076643703166545,0.058487128353879626,0.0033222591362126247,0.0066445182724252485
feat,Irish,English,0.21999896405262614,"[0.2074014555060603, 0.23258054490831864]",0.050860406091370554,0.05894825442867502,0.0033222591362126247,0.003986710963455149
editdist,Irish,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
orth,Irish,Chinese,0.0,"[0.0, 0.0]",0.0,0.0,1.0,1.0
feat,Irish,Chinese,0.05333575054387237,"[0.04062726613488036, 0.06704178752719361]",0.05084186263337822,0.05944395524707345,0.32558139534883723,0.32558139534883723
editdist,Irish,French,0.2378120791463793,"[0.22788252356780275, 0.24849787630788356]",0.0505465226699817,0.057932767015435614,0.0033222591362126247,0.0066445182724252485
orth,Irish,French,0.20121205842743187,"[0.1902162540142961, 0.21127628716461205]",0.05057389757933631,0.05894333367864912,0.0033222591362126247,0.0066445182724252485
feat,Irish,French,0.1468558997202942,"[0.13457836941883353, 0.15948642908940225]",0.05055329949238579,0.05791282502848856,0.0033222591362126247,0.003986710963455149
