analysis,unit,n,r,p_perm,r_partial_orth,p_partial,q_partial,same_family,families,orth_control_degenerate
form~meaning,English,1958,0.0215,0.0033,0.0202,0.0033,0.0033,,,False
form~meaning,Chinese,1958,0.0166,0.0033,0.0039,0.0033,0.0033,,,True
form~meaning,French,1958,0.0209,0.0033,0.0151,0.0033,0.0033,,,False
form~meaning,Irish,1958,0.0202,0.0033,0.0182,0.0033,0.0033,,,False
form~form,English~Chinese,1968,0.0039,0.0033,0.0033,0.0033,0.004,False,IE-Germanic / Sino-Tibetan,True
form~form,English~French,1968,0.0585,0.0033,0.0522,0.0033,0.004,False,IE-Germanic / IE-Romance,False
form~form,English~Irish,1968,0.0276,0.0033,0.0243,0.0033,0.004,False,IE-Germanic / IE-Celtic,False
form~form,Chinese~French,1968,0.0046,0.0033,0.0018,0.0133,0.0133,False,Sino-Tibetan / IE-Romance,True
form~form,Chinese~Irish,1968,0.0055,0.0033,0.0023,0.0033,0.004,False,Sino-Tibetan / IE-Celtic,True
form~form,French~Irish,1968,0.0189,0.0033,0.016,0.0033,0.004,False,IE-Romance / IE-Celtic,False
