family,source,target,k,n_concepts,acc_mean,acc_clean_mean,boot_ci95,nb_se,null_mean,null_p95,p_perm,q_fdr,mean_rank,n_collision_total
exploratory,English,Hungarian,100,1691,0.21805770051179002,0.18005069418360004,"[0.1985085350498028, 0.23980554366267612]",0.016216228539525413,0.05788552071495319,0.06909446136034657,0.004975124378109453,0.004975124378109453,598.0332101150145,190
exploratory,English,Finnish,100,1799,0.17770018660811812,0.16292753340347646,"[0.16433191936239386, 0.19207743745846123]",0.010919425551882899,0.053120699470488635,0.062229380232038695,0.004975124378109453,0.004975124378109453,662.1691608154355,185
exploratory,English,Greek,100,1842,0.16340775558166862,0.15021564992446174,"[0.14764975029377203, 0.18244021739130437]",0.01353737501143255,0.05317477967097533,0.06403965922444184,0.004975124378109453,0.004975124378109453,675.4704347826088,143
exploratory,English,Russian,100,1840,0.22826086956521738,0.21986249583465925,"[0.2125, 0.24347826086956523]",0.012402035074537493,0.05353804347826086,0.06413043478260869,0.004975124378109453,0.004975124378109453,613.6940217391304,158
exploratory,English,German,100,1840,0.46082753815825805,0.4582244209666243,"[0.44026060348481055, 0.47826039399163955]",0.015020665403630408,0.05295182957369343,0.06308782419268877,0.004975124378109453,0.004975124378109453,431.13379060635833,168
exploratory,English,Spanish,100,1841,0.38399767550872327,0.3797631757873422,"[0.3619510135135135, 0.40769537004038964]",0.01733313313049437,0.052975895603372444,0.062499706227967085,0.004975124378109453,0.004975124378109453,465.8558085312683,182
exploratory,English,Italian,100,1840,0.38205786506392353,0.37393574201582935,"[0.36533821027014185, 0.4024338306588841]",0.013971901055766818,0.05249543746347916,0.06304139697430859,0.004975124378109453,0.004975124378109453,474.1311731617576,182
confirmatory,English,French,100,1842,0.42289952996474733,0.4153627613809256,"[0.4056268360752056, 0.4424177438307873]",0.015571426426962796,0.051790584606345474,0.061916128084606344,0.004975124378109453,0.004975124378109453,452.8851850763807,176
confirmatory,English,Irish,100,1842,0.26165687426556994,0.2646154489000385,"[0.24768213866039956, 0.27344594594594596]",0.009934792097886428,0.05250251175088132,0.06350587544065806,0.004975124378109453,0.004975124378109453,606.9753613396005,160
exploratory,English,Welsh,100,1751,0.2987476173562667,0.2713320330388424,"[0.27649140350108936, 0.31990483260404406]",0.016655721178245694,0.05687901335241776,0.06905160396020935,0.004975124378109453,0.004975124378109453,523.0781226932398,139
confirmatory,English,Chinese,100,1842,0.07981198589894242,0.07927023065874376,"[0.07326380728554642, 0.08636897767332549]",0.0050210035738733885,0.05268231492361927,0.06247928907168037,0.004975124378109453,0.004975124378109453,822.3509488836664,26
exploratory,English,Vietnamese,100,1786,0.11641060150664813,0.09204436349639802,"[0.10447820004643542, 0.12759922383601063]",0.009386677078386474,0.05519173912821893,0.06663919388170594,0.004975124378109453,0.004975124378109453,741.3195253952231,157
exploratory,English,Japanese,100,1841,0.26941245593419505,0.26349246077264643,"[0.2574559341950647, 0.2805276145710928]",0.009602233558521654,0.15852549941245594,0.1727855464159812,0.004975124378109453,0.004975124378109453,621.7326586368978,99
exploratory,English,Korean,100,1842,0.17695652173913043,0.16546907229757837,"[0.1595570652173913, 0.1936863249118684]",0.013224959958161548,0.051875660987074024,0.061398501762632195,0.004975124378109453,0.004975124378109453,677.1106257344302,102
exploratory,English,Thai,100,1842,0.14932432432432433,0.1306472332891997,"[0.12916142773207986, 0.17283570799059927]",0.0160602771390477,0.05264588719153936,0.060852967097532296,0.004975124378109453,0.004975124378109453,734.024277320799,175
