pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
巽卦-dynamic,wind / seepage,t͡ʃ,2.772,6,5,1.0,40,0.005,0.0495,True
中卦-dynamic,center / mixture,w,1.62,7,4,1.0,42,0.005,0.0495,True
離卦-static,fire / enclosure,ɪ,1.513,7,4,1.0,83,0.005,0.0495,True
坎卦-static,water / core,ŋ,1.278,13,7,0.86,340,0.005,0.0495,True
中卦-dynamic,center / mixture,ɡ,1.273,6,5,0.8,49,0.005,0.0495,True
中卦-dynamic,center / mixture,z,1.264,8,4,0.75,45,0.005,0.0495,True
乾卦-dynamic,sky / tumult,s,1.239,19,8,0.88,208,0.005,0.0495,True
坎卦-dynamic,water / dispersal,f,1.172,14,6,0.83,143,0.005,0.0495,True
中卦-dynamic,center / mixture,ɪ,1.148,8,4,1.0,107,0.005,0.0495,True
艮卦-static,mountain / cover,p,0.911,20,10,0.8,719,0.005,0.0495,True
乾卦-static,sky / fullness,k,-0.83,21,10,0.8,298,0.005,0.0495,True
坎卦-dynamic,water / dispersal,h,0.762,11,7,1.0,166,0.005,0.0495,True
坤卦-static,earth / void,s,0.75,22,11,0.82,729,0.005,0.0495,True
離卦-dynamic,fire / contraction,t,0.714,21,11,0.82,1600,0.005,0.0495,True
乾卦-static,sky / fullness,o,0.643,18,9,0.78,456,0.005,0.0495,True
坤卦-static,earth / void,h,0.558,14,10,0.8,259,0.005,0.0495,True
艮卦-static,mountain / cover,s,-0.549,21,10,1.0,894,0.005,0.0495,True
坤卦-dynamic,earth / stillness,p,-0.544,20,10,0.9,523,0.005,0.0495,True
坤卦-dynamic,earth / stillness,k,-0.541,22,11,0.82,1116,0.005,0.0495,True
震卦-dynamic,thunder / rising,m,-0.51,21,11,0.82,386,0.005,0.0495,True
離卦-dynamic,fire / contraction,ɛ,0.509,15,7,0.86,632,0.005,0.0495,True
離卦-dynamic,fire / contraction,o,-0.495,19,10,1.0,792,0.005,0.0495,True
震卦-dynamic,thunder / rising,i,-0.49,22,11,1.0,696,0.005,0.0495,True
震卦-static,thunder / base,t,0.434,21,11,0.82,1493,0.005,0.0495,True
兌卦-dynamic,marsh / emission,o,-0.425,19,10,0.9,658,0.005,0.0495,True
艮卦-dynamic,mountain / descent,o,-0.417,19,10,0.8,690,0.005,0.0495,True
艮卦-dynamic,mountain / descent,i,-0.383,22,11,0.91,1281,0.005,0.0495,True
乾卦-dynamic,sky / tumult,f,1.453,6,4,1.0,50,0.01,0.079,True
乾卦-dynamic,sky / tumult,j,1.129,11,4,0.75,74,0.01,0.079,True
離卦-static,fire / enclosure,r,0.978,14,7,0.86,184,0.01,0.079,True
坤卦-dynamic,earth / stillness,t͡s,-0.633,6,4,1.0,36,0.01,0.079,True
離卦-dynamic,fire / contraction,ɔ,-0.558,10,5,0.8,176,0.01,0.079,True
震卦-static,thunder / base,t͡ʃ,0.505,11,8,0.75,450,0.01,0.079,True
巽卦-dynamic,wind / seepage,f,2.268,6,2,1.0,44,0.005,0.0495,False
巽卦-dynamic,wind / seepage,ʃ,2.156,5,3,1.0,33,0.005,0.0495,False
中卦-dynamic,center / mixture,x,1.878,5,3,1.0,22,0.005,0.0495,False
坎卦-dynamic,water / dispersal,ŋ,1.08,9,7,0.57,107,0.005,0.0495,False
艮卦-static,mountain / cover,a͡ɪ,1.029,5,3,0.67,100,0.005,0.0495,False
巽卦-static,wind / detachment,b,0.988,15,10,0.7,103,0.005,0.0495,False
艮卦-dynamic,mountain / descent,θ,0.931,5,2,1.0,96,0.005,0.0495,False
震卦-dynamic,thunder / rising,e,0.918,19,10,0.7,662,0.005,0.0495,False
震卦-dynamic,thunder / rising,ɛ,0.802,13,7,0.57,326,0.005,0.0495,False
乾卦-static,sky / fullness,m,0.742,22,11,0.64,437,0.005,0.0495,False
坤卦-dynamic,earth / stillness,x,0.725,8,3,1.0,212,0.005,0.0495,False
震卦-static,thunder / base,ʊ,0.723,8,3,0.33,202,0.005,0.0495,False
震卦-static,thunder / base,t͡s,0.715,6,3,1.0,90,0.005,0.0495,False
乾卦-static,sky / fullness,ɡ,0.71,13,6,0.67,154,0.005,0.0495,False
震卦-static,thunder / base,b,0.675,20,10,0.7,658,0.005,0.0495,False
艮卦-dynamic,mountain / descent,d,0.669,19,9,0.67,585,0.005,0.0495,False
艮卦-dynamic,mountain / descent,ʃ,0.651,12,5,0.6,270,0.005,0.0495,False
乾卦-static,sky / fullness,s,0.623,20,9,0.67,577,0.005,0.0495,False
震卦-dynamic,thunder / rising,d,0.609,20,9,0.67,306,0.005,0.0495,False
震卦-static,thunder / base,ʃ,0.535,12,5,0.4,280,0.005,0.0495,False
坎卦-static,water / core,w,0.532,11,7,0.71,222,0.005,0.0495,False
離卦-dynamic,fire / contraction,l,-0.496,21,11,0.64,1017,0.005,0.0495,False
艮卦-static,mountain / cover,b,0.491,20,10,0.7,542,0.005,0.0495,False
震卦-dynamic,thunder / rising,l,-0.482,20,10,0.5,447,0.005,0.0495,False
離卦-dynamic,fire / contraction,u,-0.477,20,10,0.7,616,0.005,0.0495,False
坎卦-static,water / core,t,0.462,21,11,0.64,1856,0.005,0.0495,False
艮卦-dynamic,mountain / descent,m,-0.461,22,11,0.64,761,0.005,0.0495,False
艮卦-static,mountain / cover,f,0.455,17,8,0.62,372,0.005,0.0495,False
坤卦-dynamic,earth / stillness,j,0.448,21,11,0.64,651,0.005,0.0495,False
艮卦-static,mountain / cover,t,0.443,21,11,0.64,1145,0.005,0.0495,False
離卦-dynamic,fire / contraction,s,-0.443,22,11,0.73,1090,0.005,0.0495,False
離卦-dynamic,fire / contraction,n,0.429,22,11,0.64,1828,0.005,0.0495,False
艮卦-dynamic,mountain / descent,ɡ,0.426,17,8,0.5,382,0.005,0.0495,False
震卦-static,thunder / base,s,-0.411,21,10,0.6,1025,0.005,0.0495,False
