language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,中卦-dynamic,x,4.041,3,0.005,0.2985,False
Arabic,巽卦-dynamic,s̪,3.938,7,0.005,0.2985,False
Arabic,震卦-static,w,2.5,49,0.005,0.2985,False
Arabic,離卦-dynamic,t,2.44,85,0.005,0.2985,False
Arabic,兌卦-dynamic,ʕ,2.245,33,0.005,0.2985,False
Arabic,震卦-static,j,-2.177,7,0.005,0.2985,False
Arabic,艮卦-dynamic,r,2.158,94,0.005,0.2985,False
Arabic,離卦-dynamic,l,1.786,145,0.005,0.2985,False
Arabic,艮卦-static,f,1.617,50,0.005,0.2985,False
Arabic,中卦-dynamic,d,2.877,10,0.01,0.4133,False
Arabic,坎卦-dynamic,θ,2.535,5,0.01,0.4133,False
Arabic,坤卦-dynamic,h,1.584,54,0.01,0.4133,False
Arabic,艮卦-dynamic,d͡ʒ,1.459,33,0.01,0.4133,False
Arabic,中卦-dynamic,b,3.394,11,0.0199,0.4478,False
Arabic,巽卦-dynamic,χ,3.146,4,0.0199,0.4478,False
Arabic,巽卦-dynamic,ʃ,3.014,4,0.0199,0.4478,False
Arabic,中卦-dynamic,i,2.987,27,0.0199,0.4478,False
Arabic,中卦-static,t̪,2.333,12,0.0149,0.4478,False
Arabic,震卦-dynamic,t,2.251,47,0.0149,0.4478,False
Arabic,兌卦-dynamic,l,2.142,110,0.0149,0.4478,False
Arabic,兌卦-dynamic,ħ,1.796,24,0.0199,0.4478,False
Arabic,艮卦-static,j,1.398,49,0.0149,0.4478,False
Arabic,坤卦-dynamic,j,1.208,64,0.0149,0.4478,False
Arabic,坤卦-dynamic,l,-1.147,80,0.0199,0.4478,False
Arabic,中卦-static,θ,2.334,7,0.0299,0.5037,False
Arabic,坤卦-static,h,1.762,20,0.0299,0.5037,False
Arabic,坤卦-static,k,1.696,22,0.0299,0.5037,False
Arabic,坎卦-static,k,1.633,31,0.0299,0.5037,False
Arabic,離卦-dynamic,a,-1.403,179,0.0249,0.5037,False
Arabic,兌卦-dynamic,u,-1.385,14,0.0299,0.5037,False
Arabic,震卦-static,n,-1.084,38,0.0249,0.5037,False
Arabic,坤卦-dynamic,ɣ,0.966,19,0.0299,0.5037,False
Arabic,震卦-dynamic,ħ,1.59,19,0.0348,0.5224,False
Arabic,艮卦-dynamic,d,1.345,54,0.0348,0.5224,False
Arabic,坎卦-static,m,1.233,63,0.0348,0.5224,False
Arabic,震卦-static,t̪,1.085,24,0.0348,0.5224,False
Arabic,中卦-static,ð,1.879,11,0.0398,0.5511,False
Arabic,兌卦-dynamic,a,-1.325,127,0.0398,0.5511,False
Arabic,兌卦-static,z,3.077,6,0.0597,0.6716,False
Arabic,巽卦-static,d͡ʒ,2.665,12,0.0547,0.6716,False
Arabic,乾卦-dynamic,s,2.518,16,0.0498,0.6716,False
Arabic,坤卦-static,ð,1.556,13,0.0547,0.6716,False
Arabic,震卦-dynamic,j,-1.346,7,0.0547,0.6716,False
Arabic,震卦-static,a,1.166,388,0.0547,0.6716,False
Arabic,震卦-static,d͡ʒ,1.022,36,0.0597,0.6716,False
Arabic,艮卦-static,l,-0.988,66,0.0597,0.6716,False
Arabic,坤卦-dynamic,d͡ʒ,-0.911,15,0.0597,0.6716,False
Arabic,巽卦-static,n,2.272,23,0.0647,0.6848,False
Arabic,坤卦-dynamic,ħ,0.867,51,0.0647,0.6848,False
Arabic,中卦-static,h,1.741,15,0.0697,0.6965,False
Arabic,坤卦-static,j,1.329,23,0.0697,0.6965,False
Arabic,坤卦-dynamic,q,-0.899,24,0.0697,0.6965,False
Arabic,離卦-static,ʔ,2.038,27,0.0796,0.7541,False
Arabic,坎卦-dynamic,m,-1.826,6,0.0796,0.7541,False
Arabic,兌卦-dynamic,t,1.167,41,0.0796,0.7541,False
Arabic,震卦-dynamic,s,-1.478,6,0.0846,0.7612,False
Arabic,艮卦-static,a,0.957,358,0.0846,0.7612,False
Arabic,離卦-static,u,1.802,19,0.1144,0.8484,False
Arabic,乾卦-static,ʔ,1.548,39,0.1045,0.8484,False
Arabic,坎卦-dynamic,ʔ,-1.49,8,0.1095,0.8484,False
Arabic,坎卦-dynamic,q,1.466,16,0.1194,0.8484,False
Arabic,中卦-static,ʔ,-1.383,13,0.1194,0.8484,False
Arabic,兌卦-dynamic,ʔ,-1.147,22,0.0995,0.8484,False
Arabic,離卦-dynamic,b,1.109,49,0.1045,0.8484,False
Arabic,兌卦-dynamic,d͡ʒ,1.106,18,0.1144,0.8484,False
Arabic,震卦-dynamic,l,1.041,69,0.1194,0.8484,False
Arabic,艮卦-static,ʃ,1.005,29,0.1194,0.8484,False
Arabic,艮卦-static,t̪,0.994,22,0.1194,0.8484,False
Arabic,坎卦-static,f,-0.984,11,0.1045,0.8484,False
Arabic,離卦-dynamic,t̪,0.975,16,0.1194,0.8484,False
Arabic,震卦-static,b,-0.839,41,0.1095,0.8484,False
Arabic,坎卦-dynamic,n,1.638,22,0.1294,0.8624,False
Arabic,乾卦-static,n,1.485,28,0.1294,0.8624,False
Arabic,中卦-static,u,1.474,32,0.1294,0.8624,False
Arabic,震卦-dynamic,n,-1.12,15,0.1294,0.8624,False
Arabic,巽卦-static,u,1.938,22,0.1443,0.8778,False
Arabic,巽卦-static,ʔ,1.833,29,0.1542,0.8778,False
Arabic,坎卦-dynamic,f,1.57,12,0.1393,0.8778,False
Arabic,坎卦-dynamic,χ,1.478,8,0.1592,0.8778,False
Arabic,坎卦-dynamic,d,-1.461,4,0.1642,0.8778,False
Arabic,中卦-static,m,1.335,34,0.1642,0.8778,False
Arabic,坎卦-dynamic,r,1.315,23,0.1592,0.8778,False
Arabic,坤卦-static,s,-1.054,10,0.1343,0.8778,False
Arabic,震卦-dynamic,m,-1.022,18,0.1542,0.8778,False
Arabic,兌卦-dynamic,r,0.99,45,0.1592,0.8778,False
Arabic,坎卦-static,h,-0.953,3,0.1592,0.8778,False
Arabic,兌卦-dynamic,t̪,0.933,11,0.1642,0.8778,False
Arabic,兌卦-dynamic,i,-0.93,32,0.1493,0.8778,False
Arabic,離卦-dynamic,ħ,-0.884,14,0.1443,0.8778,False
Arabic,艮卦-dynamic,s,0.834,43,0.1493,0.8778,False
Arabic,艮卦-dynamic,a,0.81,294,0.1592,0.8778,False
Arabic,巽卦-dynamic,q,2.049,6,0.1692,0.8868,False
Arabic,艮卦-static,m,-0.768,48,0.1692,0.8868,False
Arabic,中卦-dynamic,a,-1.771,25,0.1841,0.8875,False
Arabic,中卦-static,ʕ,-1.278,5,0.1841,0.8875,False
Arabic,中卦-static,j,1.242,17,0.1841,0.8875,False
Arabic,離卦-dynamic,n,-0.839,30,0.1741,0.8875,False
Arabic,艮卦-dynamic,u,-0.825,33,0.1841,0.8875,False
Arabic,離卦-dynamic,χ,0.742,18,0.1841,0.8875,False
Arabic,艮卦-dynamic,j,-0.722,20,0.1841,0.8875,False
Arabic,震卦-dynamic,ɣ,1.005,6,0.1891,0.8877,False
Arabic,離卦-dynamic,q,-0.821,14,0.1891,0.8877,False
Arabic,艮卦-static,ɣ,-0.69,3,0.1891,0.8877,False
Arabic,巽卦-dynamic,a,-1.901,17,0.194,0.8879,False
Arabic,乾卦-static,s,-1.192,6,0.194,0.8879,False
Arabic,震卦-static,s,0.769,53,0.194,0.8879,False
Arabic,乾卦-dynamic,m,1.503,20,0.2139,0.8886,False
Arabic,震卦-dynamic,d,1.019,25,0.2139,0.8886,False
Arabic,坤卦-static,ʕ,-0.93,9,0.209,0.8886,False
Arabic,離卦-dynamic,u,-0.879,28,0.209,0.8886,False
Arabic,坎卦-static,χ,-0.779,5,0.2139,0.8886,False
Arabic,艮卦-static,h,0.756,28,0.2139,0.8886,False
Arabic,震卦-static,m,0.714,85,0.204,0.8886,False
Arabic,坤卦-dynamic,ʃ,0.703,35,0.204,0.8886,False
Arabic,艮卦-static,ħ,-0.702,21,0.204,0.8886,False
Arabic,震卦-static,ð,-0.655,5,0.2139,0.8886,False
Arabic,兌卦-static,k,2.321,4,0.2289,0.8891,False
Arabic,乾卦-dynamic,z,1.496,10,0.2239,0.8891,False
Arabic,中卦-static,f,-1.153,5,0.2189,0.8891,False
Arabic,中卦-static,q,-1.078,5,0.2289,0.8891,False
Arabic,坎卦-static,ʕ,-0.717,15,0.2189,0.8891,False
Arabic,坤卦-dynamic,r,0.626,110,0.2289,0.8891,False
Arabic,巽卦-static,ʃ,1.612,8,0.2338,0.8955,False
Arabic,乾卦-static,q,-1.145,4,0.2388,0.8955,False
Arabic,坎卦-static,t̪,0.811,14,0.2338,0.8955,False
Arabic,震卦-static,χ,-0.67,9,0.2388,0.8955,False
Arabic,艮卦-static,i,-0.597,78,0.2438,0.9079,False
Arabic,巽卦-dynamic,s,1.673,5,0.3184,0.914,False
Arabic,中卦-dynamic,ð,1.552,3,0.2687,0.914,False
Arabic,中卦-dynamic,ʕ,1.544,6,0.3234,0.914,False
Arabic,乾卦-dynamic,i,1.413,35,0.2985,0.914,False
Arabic,乾卦-dynamic,q,1.361,13,0.3184,0.914,False
Arabic,離卦-static,i,-1.298,9,0.2687,0.914,False
Arabic,巽卦-static,z,1.291,10,0.2886,0.914,False
Arabic,乾卦-dynamic,d,-1.277,4,0.2985,0.914,False
Arabic,離卦-static,f,1.264,9,0.3134,0.914,False
Arabic,中卦-static,d͡ʒ,-1.13,3,0.2637,0.914,False
Arabic,坎卦-dynamic,ʕ,-1.097,4,0.2637,0.914,False
Arabic,坎卦-dynamic,l,0.999,39,0.2587,0.914,False
