analysis,unit,n,r,p_perm,r_partial_orth,p_partial,q_partial,same_family,families,orth_control_degenerate
form~meaning,Hungarian,1958,0.0217,0.005,0.0196,0.005,0.005,,,False
form~meaning,Finnish,1958,0.0254,0.005,0.0202,0.005,0.005,,,False
form~meaning,Greek,1958,0.0229,0.005,0.0158,0.005,0.005,,,False
form~meaning,Russian,1958,0.0275,0.005,0.0168,0.005,0.005,,,False
form~meaning,German,1958,0.0298,0.005,0.0225,0.005,0.005,,,False
form~meaning,Spanish,1958,0.0279,0.005,0.02,0.005,0.005,,,False
form~meaning,Italian,1958,0.0277,0.005,0.0158,0.005,0.005,,,False
form~meaning,French,1958,0.0209,0.005,0.0151,0.005,0.005,,,False
form~meaning,Irish,1958,0.0202,0.005,0.0182,0.005,0.005,,,False
form~meaning,Welsh,1958,0.0222,0.005,0.0194,0.005,0.005,,,False
form~meaning,English,1958,0.0215,0.005,0.0202,0.005,0.005,,,False
form~meaning,Chinese,1958,0.0166,0.005,0.0039,0.005,0.005,,,True
form~meaning,Vietnamese,1958,0.0244,0.005,0.0216,0.005,0.005,,,False
form~meaning,Japanese,1958,0.043,0.005,0.0408,0.005,0.005,,,True
form~meaning,Korean,1958,0.0256,0.005,0.0053,0.005,0.005,,,False
form~meaning,Thai,1958,0.022,0.005,0.019,0.005,0.005,,,False
form~meaning,Indonesian,1958,0.0253,0.005,0.0161,0.005,0.005,,,False
form~meaning,Turkish,1958,0.025,0.005,0.0146,0.005,0.005,,,False
form~meaning,Arabic,1958,0.0266,0.005,0.0149,0.005,0.005,,,False
form~meaning,Hebrew,1958,0.018,0.005,0.0114,0.005,0.005,,,False
form~meaning,Swahili,1958,0.0253,0.005,0.0191,0.005,0.005,,,False
form~meaning,Hindi,1958,0.0205,0.005,0.0171,0.005,0.005,,,False
form~form,Hungarian~Finnish,1968,0.0192,0.005,0.0166,0.005,0.0051,True,Uralic / Uralic,False
form~form,Hungarian~Greek,1968,0.0173,0.005,0.0155,0.005,0.0051,False,Uralic / IE-Hellenic,False
form~form,Hungarian~Russian,1968,0.0223,0.005,0.0191,0.005,0.0051,False,Uralic / IE-Slavic,False
form~form,Hungarian~German,1968,0.0267,0.005,0.024,0.005,0.0051,False,Uralic / IE-Germanic,False
form~form,Hungarian~Spanish,1968,0.0224,0.005,0.0194,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Hungarian~Italian,1968,0.0222,0.005,0.0192,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Hungarian~French,1968,0.0185,0.005,0.0163,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Hungarian~Irish,1968,0.0138,0.005,0.0122,0.005,0.0051,False,Uralic / IE-Celtic,False
form~form,Hungarian~Welsh,1968,0.0161,0.005,0.0144,0.005,0.0051,False,Uralic / IE-Celtic,False
form~form,Hungarian~English,1968,0.0183,0.005,0.0159,0.005,0.0051,False,Uralic / IE-Germanic,False
form~form,Hungarian~Chinese,1968,0.0049,0.005,0.0042,0.005,0.0051,False,Uralic / Sino-Tibetan,True
form~form,Hungarian~Vietnamese,1968,0.0104,0.005,0.0094,0.005,0.0051,False,Uralic / Austroasiatic,False
form~form,Hungarian~Japanese,1968,0.0055,0.005,0.0075,0.005,0.0051,False,Uralic / Japonic,True
form~form,Hungarian~Korean,1968,0.0099,0.005,0.0085,0.005,0.0051,False,Uralic / Koreanic,False
form~form,Hungarian~Thai,1968,0.0102,0.005,0.0085,0.005,0.0051,False,Uralic / Kra-Dai,False
form~form,Hungarian~Indonesian,1968,0.0151,0.005,0.0135,0.005,0.0051,False,Uralic / Austronesian,False
form~form,Hungarian~Turkish,1968,0.0197,0.005,0.0175,0.005,0.0051,False,Uralic / Turkic,False
form~form,Hungarian~Arabic,1968,0.0111,0.005,0.0097,0.005,0.0051,False,Uralic / Afro-Asiatic,False
form~form,Hungarian~Hebrew,1968,0.0125,0.005,0.0111,0.005,0.0051,False,Uralic / Afro-Asiatic,False
form~form,Hungarian~Swahili,1968,0.0146,0.005,0.0131,0.005,0.0051,False,Uralic / Atlantic-Congo,False
form~form,Hungarian~Hindi,1968,0.0117,0.005,0.0105,0.005,0.0051,False,Uralic / IE-Indic,False
form~form,Finnish~Greek,1968,0.0161,0.005,0.0137,0.005,0.0051,False,Uralic / IE-Hellenic,False
form~form,Finnish~Russian,1968,0.0212,0.005,0.0176,0.005,0.0051,False,Uralic / IE-Slavic,False
form~form,Finnish~German,1968,0.0266,0.005,0.0228,0.005,0.0051,False,Uralic / IE-Germanic,False
form~form,Finnish~Spanish,1968,0.0199,0.005,0.0165,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Finnish~Italian,1968,0.0193,0.005,0.0152,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Finnish~French,1968,0.0188,0.005,0.016,0.005,0.0051,False,Uralic / IE-Romance,False
form~form,Finnish~Irish,1968,0.0113,0.005,0.0095,0.005,0.0051,False,Uralic / IE-Celtic,False
form~form,Finnish~Welsh,1968,0.0159,0.005,0.0132,0.005,0.0051,False,Uralic / IE-Celtic,False
form~form,Finnish~English,1968,0.0175,0.005,0.0149,0.005,0.0051,False,Uralic / IE-Germanic,False
form~form,Finnish~Chinese,1968,0.0054,0.005,0.0047,0.005,0.0051,False,Uralic / Sino-Tibetan,True
form~form,Finnish~Vietnamese,1968,0.01,0.005,0.009,0.005,0.0051,False,Uralic / Austroasiatic,False
form~form,Finnish~Japanese,1968,0.0069,0.005,0.0069,0.005,0.0051,False,Uralic / Japonic,True
form~form,Finnish~Korean,1968,0.0115,0.005,0.0093,0.005,0.0051,False,Uralic / Koreanic,False
form~form,Finnish~Thai,1968,0.0125,0.005,0.0109,0.005,0.0051,False,Uralic / Kra-Dai,False
form~form,Finnish~Indonesian,1968,0.014,0.005,0.0112,0.005,0.0051,False,Uralic / Austronesian,False
form~form,Finnish~Turkish,1968,0.0178,0.005,0.0147,0.005,0.0051,False,Uralic / Turkic,False
form~form,Finnish~Arabic,1968,0.0123,0.005,0.0098,0.005,0.0051,False,Uralic / Afro-Asiatic,False
form~form,Finnish~Hebrew,1968,0.0122,0.005,0.0103,0.005,0.0051,False,Uralic / Afro-Asiatic,False
form~form,Finnish~Swahili,1968,0.0148,0.005,0.013,0.005,0.0051,False,Uralic / Atlantic-Congo,False
form~form,Finnish~Hindi,1968,0.0122,0.005,0.0106,0.005,0.0051,False,Uralic / IE-Indic,False
form~form,Greek~Russian,1968,0.0186,0.005,0.0152,0.005,0.0051,False,IE-Hellenic / IE-Slavic,False
form~form,Greek~German,1968,0.0189,0.005,0.0159,0.005,0.0051,False,IE-Hellenic / IE-Germanic,False
form~form,Greek~Spanish,1968,0.024,0.005,0.0198,0.005,0.0051,False,IE-Hellenic / IE-Romance,False
form~form,Greek~Italian,1968,0.0258,0.005,0.0212,0.005,0.0051,False,IE-Hellenic / IE-Romance,False
form~form,Greek~French,1968,0.0198,0.005,0.0172,0.005,0.0051,False,IE-Hellenic / IE-Romance,False
form~form,Greek~Irish,1968,0.009,0.005,0.0072,0.005,0.0051,False,IE-Hellenic / IE-Celtic,False
form~form,Greek~Welsh,1968,0.0139,0.005,0.0116,0.005,0.0051,False,IE-Hellenic / IE-Celtic,False
form~form,Greek~English,1968,0.014,0.005,0.0121,0.005,0.0051,False,IE-Hellenic / IE-Germanic,False
form~form,Greek~Chinese,1968,0.0055,0.005,0.0052,0.005,0.0051,False,IE-Hellenic / Sino-Tibetan,True
form~form,Greek~Vietnamese,1968,0.011,0.005,0.0099,0.005,0.0051,False,IE-Hellenic / Austroasiatic,False
form~form,Greek~Japanese,1968,0.0091,0.005,0.005,0.005,0.0051,False,IE-Hellenic / Japonic,True
form~form,Greek~Korean,1968,0.0099,0.005,0.0076,0.005,0.0051,False,IE-Hellenic / Koreanic,False
form~form,Greek~Thai,1968,0.0094,0.005,0.008,0.005,0.0051,False,IE-Hellenic / Kra-Dai,False
form~form,Greek~Indonesian,1968,0.0128,0.005,0.0103,0.005,0.0051,False,IE-Hellenic / Austronesian,False
form~form,Greek~Turkish,1968,0.0182,0.005,0.0154,0.005,0.0051,False,IE-Hellenic / Turkic,False
form~form,Greek~Arabic,1968,0.0119,0.005,0.0097,0.005,0.0051,False,IE-Hellenic / Afro-Asiatic,False
form~form,Greek~Hebrew,1968,0.0122,0.005,0.0106,0.005,0.0051,False,IE-Hellenic / Afro-Asiatic,False
form~form,Greek~Swahili,1968,0.0129,0.005,0.0108,0.005,0.0051,False,IE-Hellenic / Atlantic-Congo,False
form~form,Greek~Hindi,1968,0.0112,0.005,0.0094,0.005,0.0051,False,IE-Hellenic / IE-Indic,False
form~form,Russian~German,1968,0.0315,0.005,0.0259,0.005,0.0051,False,IE-Slavic / IE-Germanic,False
form~form,Russian~Spanish,1968,0.0308,0.005,0.0243,0.005,0.0051,False,IE-Slavic / IE-Romance,False
form~form,Russian~Italian,1968,0.0345,0.005,0.0271,0.005,0.0051,False,IE-Slavic / IE-Romance,False
form~form,Russian~French,1968,0.0282,0.005,0.024,0.005,0.0051,False,IE-Slavic / IE-Romance,False
form~form,Russian~Irish,1968,0.0137,0.005,0.0113,0.005,0.0051,False,IE-Slavic / IE-Celtic,False
form~form,Russian~Welsh,1968,0.0179,0.005,0.015,0.005,0.0051,False,IE-Slavic / IE-Celtic,False
form~form,Russian~English,1968,0.0207,0.005,0.0179,0.005,0.0051,False,IE-Slavic / IE-Germanic,False
form~form,Russian~Chinese,1968,0.0062,0.005,0.0056,0.005,0.0051,False,IE-Slavic / Sino-Tibetan,True
form~form,Russian~Vietnamese,1968,0.0109,0.005,0.0093,0.005,0.0051,False,IE-Slavic / Austroasiatic,False
form~form,Russian~Japanese,1968,0.011,0.005,0.0124,0.005,0.0051,False,IE-Slavic / Japonic,True
form~form,Russian~Korean,1968,0.0128,0.005,0.0097,0.005,0.0051,False,IE-Slavic / Koreanic,False
form~form,Russian~Thai,1968,0.0109,0.005,0.0095,0.005,0.0051,False,IE-Slavic / Kra-Dai,False
form~form,Russian~Indonesian,1968,0.0171,0.005,0.0132,0.005,0.0051,False,IE-Slavic / Austronesian,False
form~form,Russian~Turkish,1968,0.0223,0.005,0.0177,0.005,0.0051,False,IE-Slavic / Turkic,False
form~form,Russian~Arabic,1968,0.014,0.005,0.0102,0.005,0.0051,False,IE-Slavic / Afro-Asiatic,False
form~form,Russian~Hebrew,1968,0.013,0.005,0.01,0.005,0.0051,False,IE-Slavic / Afro-Asiatic,False
form~form,Russian~Swahili,1968,0.0152,0.005,0.0121,0.005,0.0051,False,IE-Slavic / Atlantic-Congo,False
form~form,Russian~Hindi,1968,0.013,0.005,0.0104,0.005,0.0051,False,IE-Slavic / IE-Indic,False
form~form,German~Spanish,1968,0.0337,0.005,0.0285,0.005,0.0051,False,IE-Germanic / IE-Romance,False
form~form,German~Italian,1968,0.0355,0.005,0.0299,0.005,0.0051,False,IE-Germanic / IE-Romance,False
form~form,German~French,1968,0.0363,0.005,0.0322,0.005,0.0051,False,IE-Germanic / IE-Romance,False
form~form,German~Irish,1968,0.0167,0.005,0.0144,0.005,0.0051,False,IE-Germanic / IE-Celtic,False
