pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
QUIET,quiet / faint,d,1.814,5,4,1.0,39,0.005,0.0556,True
BRIGHT,bright / light,l,1.717,7,4,1.0,44,0.005,0.0556,True
QUIET,quiet / faint,t,1.596,6,4,1.0,35,0.005,0.0556,True
SHARP,sharp / angular,m,1.491,6,4,1.0,30,0.005,0.0556,True
SHARP,sharp / angular,r,1.439,7,4,1.0,38,0.005,0.0556,True
QUIET,quiet / faint,u,1.363,5,4,0.75,25,0.005,0.0556,True
QUIET,quiet / faint,n,1.135,9,5,1.0,51,0.005,0.0556,True
FAST,fast / quick,p,1.03,15,8,1.0,150,0.005,0.0556,True
SMOOTH,smooth / sleek,e,1.012,16,8,0.88,329,0.005,0.0556,True
FAST,fast / quick,t,0.796,21,11,0.91,331,0.005,0.0556,True
BRIGHT,bright / light,ɡ,1.818,5,4,1.0,19,0.01,0.0702,True
SHARP,sharp / angular,d,1.771,6,5,0.8,32,0.01,0.0702,True
QUIET,quiet / faint,l,1.463,8,4,1.0,44,0.01,0.0702,True
SLOW,slow / sluggish,p,1.161,18,8,1.0,198,0.01,0.0702,True
SHARP,sharp / angular,i,1.068,8,6,1.0,57,0.01,0.0702,True
SMOOTH,smooth / sleek,h,0.966,14,8,1.0,198,0.01,0.0702,True
BRIGHT,bright / light,n,1.029,8,7,1.0,59,0.0149,0.0952,True
SMOOTH,smooth / sleek,t,0.735,20,10,1.0,265,0.0149,0.0952,True
QUIET,quiet / faint,e,1.416,5,3,1.0,39,0.005,0.0556,False
SMOOTH,smooth / sleek,v,1.231,8,3,1.0,85,0.005,0.0556,False
ROUND,round / curved,t,1.202,5,3,1.0,30,0.01,0.0702,False
SMOOTH,smooth / sleek,ə,1.048,9,5,1.0,161,0.0199,0.1026,False
SHARP,sharp / angular,t,1.021,8,6,1.0,45,0.0199,0.1026,False
SLOW,slow / sluggish,f,0.985,13,5,0.8,120,0.0199,0.1026,False
BRIGHT,bright / light,a,0.905,12,8,1.0,99,0.0199,0.1026,False
SLOW,slow / sluggish,ɑ,0.801,6,4,0.75,140,0.0199,0.1026,False
QUIET,quiet / faint,s,1.099,6,3,1.0,35,0.0299,0.1429,False
FAST,fast / quick,a,0.62,21,10,1.0,755,0.0299,0.1429,False
SMOOTH,smooth / sleek,d,0.679,16,7,1.0,206,0.0348,0.1556,False
SLOW,slow / sluggish,a,0.598,20,9,1.0,1143,0.0348,0.1556,False
SLOW,slow / sluggish,ʊ,1.06,6,3,1.0,78,0.0398,0.1667,False
SHARP,sharp / angular,e,0.938,7,6,1.0,44,0.0398,0.1667,False
FAST,fast / quick,w,1.097,6,4,0.75,34,0.0448,0.1714,False
SMOOTH,smooth / sleek,ʃ,0.991,6,4,1.0,100,0.0448,0.1714,False
BRIGHT,bright / light,e,0.939,5,3,1.0,32,0.0448,0.1714,False
ROUND,round / curved,i,1.033,5,4,0.75,49,0.0498,0.1754,False
SLOW,slow / sluggish,ʃ,0.939,11,5,0.6,150,0.0498,0.1754,False
SLOW,slow / sluggish,k,0.598,22,11,0.91,483,0.0498,0.1754,False
