language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,SMOOTH,ʔ,2.941,18,0.005,0.3463,False
Arabic,SHARP,d,2.724,5,0.005,0.3463,False
Arabic,BRIGHT,l,2.473,5,0.005,0.3463,False
Arabic,SLOW,a,1.177,195,0.005,0.3463,False
Arabic,SMOOTH,ð,3.197,7,0.01,0.4947,False
Arabic,SMOOTH,k,2.666,8,0.01,0.4947,False
Arabic,SLOW,z,3.317,6,0.0149,0.5194,False
Arabic,ROUND,q,2.885,3,0.0149,0.5194,False
Arabic,QUIET,ħ,2.615,3,0.0149,0.5194,False
Arabic,FAST,j,3.118,3,0.0299,0.6111,False
Arabic,SMOOTH,ʕ,1.698,15,0.0249,0.6111,False
Arabic,SMOOTH,a,0.906,104,0.0249,0.6111,False
Arabic,FAST,r,1.432,33,0.0398,0.729,False
Arabic,SLOW,n,1.627,13,0.0498,0.8657,False
Arabic,ROUND,r,2.234,4,0.0547,0.9069,False
Arabic,SMOOTH,h,2.021,3,0.0647,0.9378,False
Arabic,SLOW,k,1.602,9,0.0647,0.9378,False
Arabic,QUIET,s,2.063,3,0.0697,0.9696,False
Arabic,SHARP,i,1.821,4,0.0796,0.9893,False
Arabic,SLOW,h,1.979,5,0.0846,1.0,False
Arabic,BRIGHT,s,1.861,3,0.1542,1.0,False
Arabic,SLOW,f,1.456,13,0.0896,1.0,False
Arabic,FAST,d͡ʒ,1.383,5,0.1144,1.0,False
Arabic,SLOW,d͡ʒ,1.378,8,0.1045,1.0,False
Arabic,SLOW,t̪,1.374,8,0.1244,1.0,False
Arabic,SLOW,ɣ,1.352,7,0.1343,1.0,False
Arabic,SHARP,r,1.274,4,0.1294,1.0,False
Arabic,QUIET,d,1.223,3,0.1443,1.0,False
Arabic,FAST,t,1.217,13,0.0995,1.0,False
Arabic,FAST,f,1.171,7,0.199,1.0,False
Arabic,SMOOTH,n,1.095,6,0.2139,1.0,False
Arabic,SMOOTH,b,1.054,11,0.1841,1.0,False
Arabic,QUIET,i,0.992,3,0.2786,1.0,False
Arabic,FAST,l,0.981,18,0.209,1.0,False
Arabic,FAST,t̪,0.978,4,0.2985,1.0,False
Arabic,SMOOTH,l,0.977,17,0.1841,1.0,False
Arabic,FAST,ʔ,0.954,8,0.2189,1.0,False
Arabic,SMOOTH,w,0.884,3,0.2438,1.0,False
Arabic,BRIGHT,a,0.859,16,0.1692,1.0,False
Arabic,BRIGHT,i,0.846,3,0.2985,1.0,False
Arabic,SLOW,t,0.818,17,0.2687,1.0,False
Arabic,SLOW,b,0.773,16,0.2985,1.0,False
Arabic,FAST,ɣ,0.749,3,0.2985,1.0,False
Arabic,FAST,a,0.679,100,0.204,1.0,False
Arabic,QUIET,m,0.631,8,0.5323,1.0,False
Arabic,SMOOTH,m,-0.593,5,0.3632,1.0,False
