language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,SMOOTH,ʔ,3.193,12,0.005,0.2473,False
Arabic,SHARP,d,3.096,4,0.005,0.2473,False
Arabic,SLOW,a,1.295,88,0.005,0.2473,False
Arabic,ROUND,q,2.85,3,0.01,0.3463,False
Arabic,ROUND,r,2.597,4,0.01,0.3463,False
Arabic,SMOOTH,ð,3.204,3,0.0249,0.6659,False
Arabic,SLOW,ɣ,2.732,3,0.0448,0.6925,False
Arabic,BRIGHT,l,2.728,3,0.0398,0.6925,False
Arabic,SLOW,k,2.25,4,0.0498,0.6925,False
Arabic,SLOW,n,2.023,8,0.0448,0.6925,False
Arabic,FAST,r,1.474,16,0.0697,0.7575,False
Arabic,FAST,a,0.832,60,0.0697,0.7575,False
Arabic,SMOOTH,a,0.824,47,0.0697,0.7575,False
Arabic,SLOW,f,1.712,6,0.0995,0.8217,False
Arabic,SLOW,d͡ʒ,1.654,5,0.1045,0.8217,False
Arabic,SMOOTH,ħ,1.356,4,0.1294,0.8217,False
Arabic,FAST,ħ,1.319,5,0.1144,0.8217,False
Arabic,SMOOTH,b,1.312,4,0.1144,0.8217,False
Arabic,SLOW,ħ,1.264,6,0.0945,0.8217,False
Arabic,SMOOTH,s̪,1.279,3,0.1542,0.8394,False
Arabic,SLOW,b,1.223,6,0.1642,0.8528,False
Arabic,SMOOTH,l,0.98,8,0.1891,0.8873,False
Arabic,SMOOTH,n,0.918,3,0.199,0.8873,False
Arabic,FAST,b,0.884,4,0.2189,0.9069,False
Arabic,SLOW,s̪,0.99,4,0.2338,0.9353,False
Arabic,SLOW,θ,0.905,3,0.2438,0.9378,False
Arabic,FAST,f,0.823,3,0.2985,1.0,False
Arabic,FAST,t,0.721,6,0.3383,1.0,False
Arabic,BRIGHT,a,0.668,8,0.3881,1.0,False
Arabic,FAST,l,0.627,8,0.3085,1.0,False
Arabic,SLOW,m,-0.613,4,0.2886,1.0,False
Arabic,SMOOTH,ʕ,0.61,6,0.3582,1.0,False
Arabic,SHARP,a,0.601,6,0.4478,1.0,False
Arabic,FAST,n,0.579,3,0.3085,1.0,False
Arabic,FAST,m,-0.537,5,0.3582,1.0,False
Arabic,FAST,ʔ,0.533,4,0.3831,1.0,False
Arabic,QUIET,m,0.522,5,0.6517,1.0,False
