pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
SMOOTH,smooth / sleek,h,2.141,5,5,1.0,50,0.005,0.0439,True
FAST,fast / quick,p,1.688,9,5,1.0,51,0.005,0.0439,True
FAST,fast / quick,e,1.524,9,5,1.0,108,0.005,0.0439,True
SMOOTH,smooth / sleek,m,1.43,10,7,1.0,60,0.005,0.0439,True
FAST,fast / quick,t,1.335,13,8,1.0,89,0.005,0.0439,True
SLOW,slow / sluggish,p,1.211,11,5,1.0,53,0.005,0.0439,True
SLOW,slow / sluggish,ʃ,1.966,5,4,1.0,34,0.01,0.0659,True
SMOOTH,smooth / sleek,e,1.153,10,6,1.0,85,0.01,0.0659,True
FAST,fast / quick,ɪ,1.315,5,4,1.0,28,0.0348,0.1318,False
SLOW,slow / sluggish,b,1.248,7,5,1.0,40,0.0348,0.1318,False
BRIGHT,bright / light,a,1.173,7,6,1.0,39,0.0398,0.1318,False
FAST,fast / quick,ɛ,1.16,5,5,1.0,39,0.0398,0.1318,False
SLOW,slow / sluggish,u,1.079,10,8,0.88,68,0.0398,0.1318,False
SMOOTH,smooth / sleek,k,1.062,8,6,1.0,63,0.0249,0.1318,False
SLOW,slow / sluggish,m,1.043,13,7,1.0,83,0.0348,0.1318,False
SLOW,slow / sluggish,t,0.958,15,7,0.86,98,0.0249,0.1318,False
SMOOTH,smooth / sleek,ɛ,1.202,6,4,1.0,33,0.0448,0.1396,False
SMOOTH,smooth / sleek,u,1.075,6,6,1.0,53,0.0647,0.1632,False
FAST,fast / quick,m,0.988,10,7,1.0,79,0.0597,0.1632,False
SLOW,slow / sluggish,l,0.915,10,5,0.8,65,0.0647,0.1632,False
SLOW,slow / sluggish,a,0.83,16,8,1.0,250,0.0597,0.1632,False
SHARP,sharp / angular,a,1.079,7,5,0.8,36,0.0697,0.1678,False
QUIET,quiet / faint,a,1.097,5,3,1.0,35,0.0746,0.172,False
SMOOTH,smooth / sleek,n,0.915,14,9,1.0,93,0.0846,0.1724,False
SLOW,slow / sluggish,k,0.893,17,8,1.0,107,0.0846,0.1724,False
SLOW,slow / sluggish,s,0.86,15,6,1.0,82,0.0846,0.1724,False
SMOOTH,smooth / sleek,t,0.915,12,8,1.0,65,0.0896,0.1758,False
SMOOTH,smooth / sleek,s,0.867,11,6,1.0,55,0.0945,0.1789,False
SMOOTH,smooth / sleek,i,0.853,11,8,0.88,84,0.1393,0.2461,False
SMOOTH,smooth / sleek,a,0.805,15,9,1.0,156,0.1393,0.2461,False
FAST,fast / quick,l,0.814,10,5,0.8,59,0.1493,0.2552,False
FAST,fast / quick,d,0.815,5,4,1.0,49,0.194,0.3025,False
SLOW,slow / sluggish,d,0.811,9,7,0.86,59,0.1891,0.3025,False
FAST,fast / quick,a,0.78,17,9,1.0,218,0.1841,0.3025,False
SLOW,slow / sluggish,e,0.829,14,7,1.0,99,0.209,0.3076,False
FAST,fast / quick,o,0.678,9,4,0.75,47,0.209,0.3076,False
FAST,fast / quick,r,0.722,11,6,1.0,65,0.2537,0.3539,False
SMOOTH,smooth / sleek,l,0.676,5,3,1.0,42,0.2537,0.3539,False
FAST,fast / quick,n,0.748,16,8,1.0,100,0.2935,0.3989,False
ROUND,round / curved,a,0.815,5,3,1.0,32,0.3134,0.4153,False
SLOW,slow / sluggish,ɛ,0.869,6,4,0.75,29,0.3284,0.4195,False
FAST,fast / quick,u,0.783,6,6,1.0,70,0.3383,0.4195,False
SLOW,slow / sluggish,n,0.734,14,6,1.0,110,0.3483,0.4195,False
FAST,fast / quick,k,0.716,10,7,0.86,64,0.3483,0.4195,False
SMOOTH,smooth / sleek,o,0.628,7,3,1.0,47,0.3632,0.4278,False
FAST,fast / quick,s,0.56,9,5,1.0,57,0.3881,0.4471,False
SLOW,slow / sluggish,j,0.497,5,5,1.0,30,0.4279,0.4825,False
FAST,fast / quick,ə,0.841,6,4,1.0,48,0.4527,0.4999,False
SLOW,slow / sluggish,ɡ,0.663,6,4,0.75,38,0.4627,0.5005,False
SLOW,slow / sluggish,r,0.66,9,5,1.0,75,0.4726,0.501,False
FAST,fast / quick,i,0.664,13,7,1.0,123,0.592,0.6153,False
SMOOTH,smooth / sleek,r,0.359,7,4,0.75,43,0.8308,0.8468,False
SLOW,slow / sluggish,i,0.5,14,8,0.75,103,0.8706,0.8706,False
