pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
FLY,fly,b,3.195,6,6,1.0,50,0.005,0.0488,True
HARD,hard,n,2.624,5,4,1.0,25,0.005,0.0488,True
HIT,hit,e,2.604,5,5,1.0,29,0.005,0.0488,True
PULL,pull,w,2.127,6,5,1.0,42,0.005,0.0488,True
FLY,fly,j,1.962,5,5,1.0,26,0.005,0.0488,True
STOP,stop,z,1.959,7,5,1.0,40,0.005,0.0488,True
FLY,fly,e,1.881,7,5,1.0,58,0.005,0.0488,True
FLY,fly,l,1.712,9,4,1.0,46,0.005,0.0488,True
FLAT,flat,a,1.574,7,6,1.0,43,0.005,0.0488,True
HATE,hate,e,1.498,10,7,1.0,58,0.005,0.0488,True
LOVE,love,n,1.466,13,8,1.0,84,0.005,0.0488,True
PUSH,push,d,1.363,12,8,1.0,108,0.005,0.0488,True
FLY,fly,a,1.358,12,7,1.0,129,0.005,0.0488,True
LOVE,love,a,1.341,14,8,1.0,138,0.005,0.0488,True
PULL,pull,z,1.637,11,7,1.0,83,0.01,0.0558,True
PUSH,push,j,1.625,9,7,0.86,50,0.01,0.0558,True
SHAKE,shake,ɛ,1.617,8,6,1.0,86,0.01,0.0558,True
PULL,pull,ɛ,1.438,13,8,1.0,172,0.01,0.0558,True
LOVE,love,e,1.417,8,4,1.0,61,0.01,0.0558,True
HATE,hate,s,1.398,12,5,1.0,53,0.01,0.0558,True
STOP,stop,e,1.365,16,8,1.0,207,0.01,0.0558,True
SHAKE,shake,e,1.265,14,7,1.0,187,0.01,0.0558,True
STOP,stop,p,1.183,16,8,1.0,85,0.01,0.0558,True
SHAKE,shake,m,1.119,17,9,0.89,148,0.01,0.0558,True
PULL,pull,a,1.092,20,9,1.0,940,0.01,0.0558,True
FEAR,fear,i,1.831,6,5,1.0,30,0.0149,0.067,True
FLY,fly,i,1.441,12,7,1.0,80,0.0149,0.067,True
HATE,hate,n,1.383,8,5,1.0,70,0.0149,0.067,True
FLY,fly,n,1.281,14,7,1.0,72,0.0149,0.067,True
HATE,hate,t,1.279,8,5,1.0,58,0.0149,0.067,True
SHAKE,shake,s,0.987,21,10,1.0,163,0.0149,0.067,True
HATE,hate,m,1.859,5,5,1.0,48,0.0199,0.0801,True
PUSH,push,z,1.716,6,5,1.0,40,0.0199,0.0801,True
HIT,hit,a,1.44,8,5,1.0,60,0.0199,0.0801,True
LOVE,love,m,1.318,9,6,1.0,66,0.0199,0.0801,True
SHAKE,shake,t͡ʃ,1.738,5,5,1.0,30,0.0249,0.0908,True
HATE,hate,k,1.397,8,6,1.0,54,0.0249,0.0908,True
FLY,fly,k,1.317,5,4,1.0,36,0.0249,0.0908,True
HATE,hate,i,1.268,11,5,1.0,70,0.0249,0.0908,True
FLY,fly,f,3.706,5,3,1.0,28,0.005,0.0488,False
PUSH,push,ɾ,2.085,5,3,1.0,61,0.005,0.0488,False
FLY,fly,v,1.706,5,2,1.0,27,0.01,0.0558,False
FLY,fly,r,1.767,5,3,1.0,35,0.0149,0.067,False
FLOW,flow,e,1.442,6,4,1.0,32,0.0299,0.1041,False
SHAKE,shake,n,1.102,18,10,1.0,219,0.0299,0.1041,False
SHAKE,shake,ɑ,1.339,6,4,0.75,58,0.0348,0.1189,False
PUSH,push,v,0.967,7,3,1.0,34,0.0398,0.133,False
