language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,FLAT,n,6.532,3,0.0149,0.8592,False
Arabic,STOP,d͡ʒ,6.25,6,0.005,0.8592,False
Arabic,SALTY,t̪,6.04,3,0.0249,0.8592,False
Arabic,FLOW,ɣ,5.208,3,0.0249,0.8592,False
Arabic,STOP,θ,4.998,3,0.0348,0.8592,False
Arabic,PULL,z,4.923,4,0.0199,0.8592,False
Arabic,HAPPY,t,4.378,3,0.01,0.8592,False
Arabic,HARD,s,3.959,3,0.0149,0.8592,False
Arabic,SALTY,b,3.707,3,0.0299,0.8592,False
Arabic,PULL,d͡ʒ,3.628,8,0.005,0.8592,False
Arabic,HATE,k,3.378,3,0.0249,0.8592,False
Arabic,HATE,ʔ,3.282,4,0.0149,0.8592,False
Arabic,PULL,w,3.258,4,0.0348,0.8592,False
Arabic,LOVE,ħ,2.977,5,0.0249,0.8592,False
Arabic,HIT,a,2.24,8,0.005,0.8592,False
Arabic,FLY,a,2.099,10,0.005,0.8592,False
Arabic,PULL,a,1.822,158,0.005,0.8592,False
Arabic,STOP,a,1.771,69,0.005,0.8592,False
Arabic,PUSH,a,1.591,64,0.0199,0.8592,False
Arabic,SHAKE,a,1.566,39,0.0299,0.8592,False
Arabic,FEAR,m,3.015,4,0.0398,0.9266,False
Arabic,PUSH,t,2.225,10,0.0398,0.9266,False
Arabic,HOT,i,3.181,3,0.194,1.0,False
Arabic,FEAR,r,2.683,4,0.0448,1.0,False
Arabic,SHAKE,t,2.158,6,0.0498,1.0,False
Arabic,LOVE,ʕ,2.11,5,0.0448,1.0,False
Arabic,FLOW,l,2.069,3,0.1045,1.0,False
Arabic,HAPPY,m,2.054,3,0.1244,1.0,False
Arabic,LOVE,l,1.968,6,0.0647,1.0,False
Arabic,HAPPY,i,1.677,4,0.2289,1.0,False
Arabic,PUSH,f,1.594,7,0.1095,1.0,False
Arabic,FLOW,a,1.583,14,0.0995,1.0,False
Arabic,HATE,a,1.433,16,0.194,1.0,False
Arabic,STOP,r,1.411,15,0.1294,1.0,False
Arabic,HATE,r,1.4,4,0.2687,1.0,False
Arabic,CALM,a,1.395,5,0.4577,1.0,False
Arabic,STOP,l,1.391,10,0.1244,1.0,False
Arabic,HARD,a,1.353,7,0.3582,1.0,False
Arabic,LOVE,a,1.333,26,0.2537,1.0,False
Arabic,PULL,ʕ,1.295,16,0.1294,1.0,False
Arabic,SHAKE,k,1.293,3,0.2139,1.0,False
Arabic,SHAKE,d,1.275,6,0.1841,1.0,False
Arabic,PUSH,ʕ,1.267,7,0.1294,1.0,False
Arabic,PULL,ð,1.222,4,0.2289,1.0,False
Arabic,STOP,t,1.178,6,0.2836,1.0,False
Arabic,HATE,i,1.168,5,0.3134,1.0,False
Arabic,PULL,t,1.124,13,0.2239,1.0,False
Arabic,LOVE,d,1.111,4,0.204,1.0,False
Arabic,PUSH,ʔ,1.063,6,0.2985,1.0,False
Arabic,LOVE,m,1.055,5,0.2687,1.0,False
Arabic,SHAKE,l,1.043,5,0.403,1.0,False
Arabic,SHAKE,f,1.034,3,0.2537,1.0,False
Arabic,PUSH,l,1.021,8,0.2537,1.0,False
Arabic,PUSH,d,0.988,8,0.204,1.0,False
Arabic,LOVE,b,0.947,4,0.2935,1.0,False
Arabic,PULL,l,0.943,17,0.3184,1.0,False
Arabic,STOP,ɣ,0.927,3,0.2537,1.0,False
Arabic,SHAKE,n,0.927,6,0.2985,1.0,False
Arabic,PULL,ʔ,0.901,12,0.4179,1.0,False
Arabic,DOWN,a,0.896,3,0.7761,1.0,False
Arabic,FEAR,a,0.875,7,0.8408,1.0,False
Arabic,PUSH,ħ,0.847,4,0.3184,1.0,False
Arabic,PULL,f,0.808,9,0.2886,1.0,False
Arabic,LOVE,n,0.803,4,0.3433,1.0,False
Arabic,PULL,r,0.765,22,0.4527,1.0,False
Arabic,PUSH,b,0.687,7,0.4627,1.0,False
Arabic,SHAKE,b,0.612,4,0.4527,1.0,False
Arabic,HAPPY,a,0.597,6,0.9552,1.0,False
Arabic,PULL,ħ,0.576,7,0.4627,1.0,False
Arabic,PULL,k,0.567,6,0.4677,1.0,False
Arabic,STOP,ħ,0.54,3,0.5323,1.0,False
Arabic,PULL,s̪,0.534,5,0.4129,1.0,False
Arabic,PUSH,χ,0.514,4,0.5075,1.0,False
Arabic,SHAKE,s,0.512,3,0.5224,1.0,False
Arabic,PULL,t̪,0.476,7,0.4428,1.0,False
Arabic,PULL,s,0.439,10,0.6965,1.0,False
Arabic,STOP,ʕ,0.408,3,0.6318,1.0,False
Arabic,STOP,m,0.379,6,0.6617,1.0,False
Arabic,PULL,b,0.376,11,0.7562,1.0,False
Arabic,SHAKE,i,0.368,6,0.7662,1.0,False
Arabic,SHAKE,r,0.354,4,0.7114,1.0,False
Arabic,PULL,d,0.331,9,0.7463,1.0,False
Arabic,STOP,d,0.329,4,0.6617,1.0,False
Arabic,STOP,χ,0.311,3,0.6468,1.0,False
Arabic,PUSH,i,0.301,9,0.8607,1.0,False
Arabic,PUSH,q,0.285,6,0.7612,1.0,False
Arabic,SALTY,a,0.269,3,0.9851,1.0,False
Arabic,PULL,χ,0.245,6,0.796,1.0,False
Arabic,STOP,s,0.185,3,0.8209,1.0,False
Arabic,PUSH,s,0.185,3,0.8109,1.0,False
Arabic,PUSH,r,0.168,5,0.9055,1.0,False
Arabic,STOP,i,-0.149,4,0.9552,1.0,False
Arabic,PULL,m,0.106,9,0.9353,1.0,False
Arabic,STOP,b,0.093,3,0.9104,1.0,False
Arabic,STOP,n,0.086,3,0.9055,1.0,False
Arabic,STOP,ʃ,0.086,3,0.8706,1.0,False
Arabic,STOP,q,0.064,4,0.9154,1.0,False
Arabic,PUSH,m,-0.032,3,0.9652,1.0,False
Arabic,PULL,i,-0.028,12,1.0,1.0,False
Arabic,PULL,q,0.016,8,0.99,1.0,False
Chinese,PUSH,j,7.483,3,0.005,0.6912,False
Chinese,HARD,ɕ,7.313,3,0.005,0.6912,False
Chinese,FLY,f,7.282,5,0.005,0.6912,False
Chinese,HAPPY,l,6.69,3,0.005,0.6912,False
Chinese,FEAR,ɪ,5.935,6,0.005,0.6912,False
Chinese,PUSH,t͡ɕ,5.42,7,0.005,0.6912,False
Chinese,HIT,ɑ,5.336,5,0.005,0.6912,False
Chinese,STOP,ʈ͡ʂʰ,5.294,5,0.005,0.6912,False
Chinese,PULL,t͡ɕ,2.887,9,0.005,0.6912,False
Chinese,FEAR,p,6.551,3,0.0149,1.0,False
Chinese,HAPPY,n,5.03,4,0.0149,1.0,False
Chinese,SHAKE,ʈ͡ʂʰ,4.539,5,0.0199,1.0,False
Chinese,FLY,e,4.49,3,0.0199,1.0,False
Chinese,FEAR,a,4.246,4,0.0149,1.0,False
Chinese,HATE,x,3.984,4,0.0348,1.0,False
Chinese,FLY,ʊ,3.53,4,0.0149,1.0,False
Chinese,LOVE,a,3.447,6,0.0249,1.0,False
Chinese,STOP,t͡s,3.374,3,0.0498,1.0,False
