analysis,unit,n,r,p_perm,r_partial_orth,p_partial,q_partial,same_family,families,orth_control_degenerate
form~meaning,Hungarian,597,0.0234,0.005,0.0218,0.005,0.0055,,,False
form~meaning,Finnish,597,0.0295,0.005,0.0256,0.005,0.0055,,,False
form~meaning,Greek,597,0.0247,0.005,0.0179,0.005,0.0055,,,False
form~meaning,Russian,597,0.0347,0.005,0.0229,0.005,0.0055,,,False
form~meaning,German,597,0.0286,0.005,0.0215,0.005,0.0055,,,False
form~meaning,Spanish,597,0.0279,0.005,0.0213,0.005,0.0055,,,False
form~meaning,Italian,597,0.0311,0.005,0.0179,0.005,0.0055,,,False
form~meaning,French,597,0.0272,0.005,0.0219,0.005,0.0055,,,False
form~meaning,Irish,597,0.0224,0.005,0.0195,0.005,0.0055,,,False
form~meaning,Welsh,597,0.025,0.005,0.0219,0.005,0.0055,,,False
form~meaning,English,597,0.0247,0.005,0.023,0.005,0.0055,,,False
form~meaning,Chinese,597,0.0196,0.005,0.0059,0.0348,0.0365,,,True
form~meaning,Vietnamese,597,0.0263,0.005,0.0237,0.005,0.0055,,,False
form~meaning,Japanese,597,0.0419,0.005,0.0411,0.005,0.0055,,,True
form~meaning,Korean,597,0.0215,0.005,0.0029,0.2139,0.2139,,,False
form~meaning,Thai,597,0.0238,0.005,0.021,0.005,0.0055,,,False
form~meaning,Indonesian,597,0.0324,0.005,0.0224,0.005,0.0055,,,False
form~meaning,Turkish,597,0.0253,0.005,0.0143,0.005,0.0055,,,False
form~meaning,Arabic,597,0.026,0.005,0.0233,0.005,0.0055,,,False
form~meaning,Hebrew,597,0.0195,0.005,0.0145,0.005,0.0055,,,False
form~meaning,Swahili,597,0.0238,0.005,0.0165,0.005,0.0055,,,False
form~meaning,Hindi,597,0.0231,0.005,0.02,0.005,0.0055,,,False
form~form,Hungarian~Finnish,600,0.0181,0.005,0.0156,0.005,0.0072,True,Uralic / Uralic,False
form~form,Hungarian~Greek,600,0.009,0.005,0.0074,0.005,0.0072,False,Uralic / IE-Hellenic,False
form~form,Hungarian~Russian,600,0.021,0.005,0.0185,0.005,0.0072,False,Uralic / IE-Slavic,False
form~form,Hungarian~German,600,0.0231,0.005,0.0216,0.005,0.0072,False,Uralic / IE-Germanic,False
form~form,Hungarian~Spanish,600,0.0218,0.005,0.0199,0.005,0.0072,False,Uralic / IE-Romance,False
form~form,Hungarian~Italian,600,0.0198,0.005,0.0174,0.005,0.0072,False,Uralic / IE-Romance,False
form~form,Hungarian~French,600,0.0147,0.005,0.0132,0.005,0.0072,False,Uralic / IE-Romance,False
form~form,Hungarian~Irish,600,0.0098,0.005,0.0085,0.005,0.0072,False,Uralic / IE-Celtic,False
form~form,Hungarian~Welsh,600,0.0196,0.005,0.018,0.005,0.0072,False,Uralic / IE-Celtic,False
form~form,Hungarian~English,600,0.0204,0.005,0.018,0.005,0.0072,False,Uralic / IE-Germanic,False
form~form,Hungarian~Chinese,600,0.0059,0.0149,0.0053,0.0149,0.0193,False,Uralic / Sino-Tibetan,True
form~form,Hungarian~Vietnamese,600,0.0119,0.005,0.0109,0.005,0.0072,False,Uralic / Austroasiatic,False
