m̥,nas blb vls
m,nas blb vcd
,nas lbd vls
ɱ,nas lbd vcd
,nas dnt vls
,nas dnt vcd
n̥,nas alv vls
n,nas alv vcd
,nas pla vls
,nas pla vcd
ɳ̊,nas rfx vls
ɳ,nas rfx vcd
ɲ̟̊,nas alp vls
ɲ̟,nas alp vcd
ɲ̊,nas pal vls
ɲ,nas pal vcd
ŋ̊,nas vel vls
ŋ,nas vel vcd
ɴ̥,nas uvl vls
ɴ,nas uvl vcd
,nas phr vls
,nas phr vcd
,nas glt vls
,nas glt vcd
p,stp blb vls
b,stp blb vcd
p̪,stp lbd vls
b̪,stp lbd vcd
t̪,stp dnt vls
d̪,stp dnt vcd
t,stp alv vls
d,stp alv vcd
,stp pla vls
,stp pla vcd
ʈ,stp rfx vls
ɖ,stp rfx vcd
,stp alp vls
,stp alp vcd
c,stp pal vls
ɟ,stp pal vcd
k,stp vel vls
g,stp vel vcd
ɡ,stp vel vcd
q,stp uvl vls
ɢ,stp uvl vcd
ʡ,stp phr vls
,stp phr vcd
ʔ,stp glt vls
,stp glt vcd
,sib afr blb vls
,sib afr blb vcd
,sib afr lbd vls
,sib afr lbd vcd
,sib afr dnt vls
,sib afr dnt vcd
t͡s,sib afr alv vls
d͡z,sib afr alv vcd
t͡ʃ,sib afr pla vls
d͡ʒ,sib afr pla vcd
ʈ͡ʂ,sib afr rfx vls
ɖ͡ʐ,sib afr rfx vcd
t͡ɕ,sib afr alp vls
d͡ʑ,sib afr alp vcd
,sib afr pal vls
,sib afr pal vcd
,sib afr vel vls
,sib afr vel vcd
,sib afr uvl vls
,sib afr uvl vcd
,sib afr phr vls
,sib afr phr vcd
,sib afr glt vls
,sib afr glt vcd
p͡ɸ,afr blb vls
b͡β,afr blb vcd
p̪͡f,afr lbd vls
b̪͡v,afr lbd vcd
t͡θ,afr dnt vls
d͡ð,afr dnt vcd
,afr alv vls
,afr alv vcd
,afr pla vls
,afr pla vcd
,afr rfx vls
,afr rfx vcd
,afr alp vls
,afr alp vcd
c͡ç,afr pal vls
ɟ͡ʝ,afr pal vcd
k͡x,afr vel vls
ɡ͡ɣ,afr vel vcd
q͡χ,afr uvl vls
ɢ͡ʁ,afr uvl vcd
ʡ͡ħ,afr phr vls
ʡ͡ʕ,afr phr vcd
ʔ͡h,afr glt vls
,afr glt vcd
,lat afr blb vls
,lat afr blb vcd
,lat afr lbd vls
,lat afr lbd vcd
,lat afr dnt vls
